onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
13.028	15	Synonym	received	10.028	3	28.028	5
38.012	15	Synonym	notice	33.029	5	53.012	5
61.013	15	Synonym	mutating	58.029	3	76.013	5
86.013	15.001	Synonym	eating	81.03	5	101.014	5
110.014	15	Synonym	evolve	106.03	4	125.014	5
134.014	15.001	Synonym	taught	130.031	4	149.015	5
169.015	15.001	Hypothesis	island	164.015	5	184.016	5
192.016	15	Hypothesis	abandoned	189.033	3	207.016	5
216.017	15	Hypothesis	hospital	212.033	4	231.017	5
239.017	15.001	Hypothesis	corporation1	236.034	3	254.018	5
264.018	15	Hypothesis	earth1	259.018	5	279.018	5
288.018	15.001	Hypothesis	pond	284.035	4	303.019	5
321.019	15.001	Hypothesis	forest1	318.019	3	336.02	5
344.02	15	Hypothesis	university	341.02	3	359.02	5
369.021	15	Hypothesis	desert2	364.037	5	384.021	5
393.021	15	Hypothesis	city	389.038	4	408.021	5
418.022	15	Hypothesis	jungle	413.022	5	433.022	5
442.022	15.001	Hypothesis	earth4	438.039	4	457.023	5
475.023	15.001	Synonym	stain	472.023	3	490.024	5
499.024	15	Synonym	claim	495.04	4	514.024	5
524.024	15.001	Synonym	spills	519.024	5	539.025	5
548.025	15	Synonym	removed	544.025	4	563.025	5
573.026	15	Synonym	vanished	568.026	5	588.026	5
596.026	15.001	Synonym	seek	593.043	3	611.027	5
