onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.51	18.501	CA	bench	10.01	1.5
31.511	18.5	CA	coat	30.011	1.5
51.511	18.501	CA	costume	50.011	1.5
71.512	18.484	CA	dock	70.012	1.5
91.496	18.5	CA	drum	89.996	1.5
111.496	28.501	CA	engine	109.996	1.5
141.497	18.501	DA	grass	139.997	1.5
161.498	18.5	DA	sword	159.998	1.5
181.498	18.501	DA	glove	179.998	1.5
201.499	18.5	DA	statue	199.999	1.5
221.499	18.501	DA	palace	219.999	1.5
241.5	28.5	DA	subway	240	1.5
271.5	18.501	BAT	big_open	270	1.5
291.501	18.5	BAT	sweet_soft	290.001	1.5
311.501	18.501	BAT	round_white	310.001	1.5
331.502	18.5	BAT	liquid_healthy	330.002	1.5
351.502	18.501	BAT	small_wet	350.002	1.5
371.503	28.501	BAT	smooth_angular	370.003	1.5
401.504	18.5	AUT	candle	400.004	1.5
421.504	18.501	AUT	bucket	420.004	1.5
441.505	18.5	AUT	pillow	440.005	1.5
461.505	18.501	AUT	fork	460.005	1.5
481.506	18.5	AUT	brick	480.006	1.5
501.523	28.484	AUT	lamp	500.006	1.517
531.524	18.5	META	picture	530.007	1.517
551.524	18.501	META	swimmer	550.024	1.5
571.525	18.5	META	hat	570.025	1.5
591.525	18.501	META	bread	590.025	1.5
611.526	18.5	META	star	610.026	1.5
