onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
15.016	15.001	Synonym	deter	10.016	5	30.017	5
39.017	15	Synonym	guard	35.033	4	54.017	5
63.018	15	Synonym	banned	59.034	4	78.018	5
88.018	15.001	Synonym	overtaken	83.035	5	103.019	5
111.019	15	Synonym	administering	108.052	3	126.019	5
134.02	15	Synonym	split	131.036	3	149.02	5
169.02	15.001	Hypothesis	desert1	164.02	5	184.021	5
193.021	15.001	Hypothesis	largecity2	189.038	4	208.022	5
217.022	15	Hypothesis	zoo1	213.038	4	232.022	5
240.023	15	Hypothesis	smallvillage2	237.022	3	255.023	5
263.023	15.001	Hypothesis	earth3	260.04	3	278.024	5
288.024	15	Hypothesis	ocean1	283.04	5	303.024	5
321.025	15	Hypothesis	bottom	318.025	3	336.025	5
345.026	15	Hypothesis	beach	341.042	4	360.026	5
369.026	15.001	Hypothesis	highway	365.043	4	384.027	5
394.027	15	Hypothesis	largecity1	389.027	5	409.027	5
419.028	15	Hypothesis	forest2	414.044	5	434.028	5
442.028	15.001	Hypothesis	newplanet	439.028	3	457.029	5
477.029	14.984	Synonym	use	472.012	5	492.013	5
500.03	14.984	Synonym	grown	497.03	3	515.014	5
524.014	15	Synonym	refracted	520.03	4	539.014	5
547.015	15	Synonym	crumble	544.031	3	562.015	5
571.015	15.001	Synonym	sleep	567.032	4	586.016	5
596.016	15	Synonym	allow	591.049	5	611.016	5
