onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
14.999	15.001	Hypothesis	desert1	9.999	5	30	5
39	15	Hypothesis	largecity2	35	4	54	5
64.001	15	Hypothesis	zoo1	59.017	5	79.001	5
87.001	15.001	Hypothesis	smallvillage2	84.018	3	102.002	5
110.002	15	Hypothesis	earth3	107.018	3	125.002	5
134.003	15	Hypothesis	ocean1	130.019	4	149.003	5
169.003	15.001	Synonym	deter	164.003	5	184.004	5
193.004	15.001	Synonym	guard	189.021	4	208.005	5
216.005	15	Synonym	banned	213.005	3	231.005	5
239.005	15.001	Synonym	overtaken	236.022	3	254.006	5
264.006	15.001	Synonym	administering	259.023	5	279.007	5
288.007	15	Synonym	split	284.007	4	303.007	5
321.008	15	Synonym	use	318.008	3	336.008	5
345.009	15	Synonym	grown	341.025	4	360.009	5
370.009	15.001	Synonym	refracted	365.026	5	385.01	5
393.01	15	Synonym	crumble	390.026	3	408.01	5
417.011	15	Synonym	sleep	413.027	4	432.011	5
442.011	15.001	Synonym	allow	437.011	5	457.012	5
475.996	15.017	Hypothesis	bottom	471.995	4	491.013	5
499.013	14.984	Hypothesis	beach	496.029	3	513.997	5
521.997	15	Hypothesis	highway	519.03	3	536.997	5
545.997	15.001	Hypothesis	largecity1	542.031	4	560.998	5
571.015	14.984	Hypothesis	forest2	565.998	5	585.999	5
596.016	15	Hypothesis	newplanet	591.015	5	611.016	5
