onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
13.016	14.984	Hypothesis	island	9.999	3	28	5
38.017	14.983	Hypothesis	abandoned	33.033	5	53	5
62.017	15.001	Hypothesis	hospital	58.017	4	77.018	5
87.018	15	Hypothesis	corporation1	82.018	5	102.018	5
110.019	15	Hypothesis	earth1	107.035	3	125.019	5
134.019	15.001	Hypothesis	pond	130.019	4	149.02	5
167.02	15.001	Synonym	received	164.02	3	182.021	5
192.021	15	Synonym	notice	187.021	5	207.021	5
217.022	15	Synonym	mutating	212.021	5	232.022	5
241.022	15.001	Synonym	eating	237.022	4	256.023	5
265.023	15	Synonym	evolve	261.023	4	280.023	5
288.024	15	Synonym	taught	285.023	3	303.024	5
321.025	15	Synonym	stain	318.024	3	336.025	5
344.025	15.001	Synonym	claim	341.025	3	359.026	5
368.026	15	Synonym	spills	364.026	4	383.026	5
393.026	15.001	Synonym	removed	388.026	5	408.027	5
417.027	15.001	Synonym	vanished	413.027	4	432.028	5
442.011	15.017	Synonym	seek	437.028	5	457.028	5
475.012	15	Hypothesis	forest1	472.029	3	490.012	5
499.013	15	Hypothesis	university	495.029	4	514.013	5
524.013	15.001	Hypothesis	desert2	519.03	5	539.014	5
549.014	15.001	Hypothesis	city	544.014	5	564.015	5
573.015	15	Hypothesis	jungle	569.015	4	588.015	5
596.015	15.001	Hypothesis	earth4	593.032	3	611.016	5
