onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.516	18.501	AUT	candle	10.016	1.5
31.517	18.5	AUT	bucket	30.017	1.5
51.517	18.501	AUT	pillow	50.017	1.5
71.518	18.5	AUT	fork	70.018	1.5
91.518	18.501	AUT	brick	90.018	1.5
111.519	28.501	AUT	lamp	110.019	1.5
141.52	18.5	META	picture	140.02	1.5
161.52	18.501	META	swimmer	160.02	1.5
181.521	18.5	META	hat	180.021	1.5
201.521	18.501	META	bread	200.021	1.5
221.522	18.5	META	star	220.022	1.5
241.522	28.501	META	room	240.022	1.5
271.507	18.5	DA	grass	270.023	1.484
291.507	18.501	DA	sword	290.007	1.5
311.508	18.5	DA	glove	310.008	1.5
331.508	18.501	DA	statue	330.008	1.5
351.509	18.5	DA	palace	350.009	1.5
371.509	28.501	DA	subway	370.009	1.5
401.51	18.501	BAT	big_open	400.01	1.5
421.511	18.5	BAT	sweet_soft	420.011	1.5
441.511	18.501	BAT	round_white	440.011	1.5
461.512	18.484	BAT	liquid_healthy	460.012	1.5
481.496	18.5	BAT	small_wet	479.996	1.5
501.496	28.501	BAT	smooth_angular	499.996	1.5
531.497	18.501	CA	bench	529.997	1.5
551.498	18.5	CA	coat	549.998	1.5
571.498	18.501	CA	costume	569.998	1.5
591.499	18.5	CA	dock	589.999	1.5
611.499	18.501	CA	drum	609.999	1.5
