onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
7.128	5.001	association_1_different_context	31	1	D	flag	1.128	5	6.128	1	12.129	3.5
15.629	4.983	association_2_different_context	31	2	D	flag	1.128	5	6.128	9.501	20.612	8
28.612	5.001	association_1_different_context	32	1	D	launch	23.629	4	27.629	0.983	33.613	3.5
37.113	5	association_2_different_context	32	2	D	launch	23.629	4	27.629	9.484	42.113	8.5
50.613	5	association_1_different_context	33	1	D	road	45.13	4.5	49.63	0.983	55.613	3.5
59.113	5	association_2_different_context	33	2	D	road	45.13	4.5	49.63	9.483	64.113	8.501
72.614	5	association_1_same_context	34	1	S	flow	67.13	4.5	71.614	1	77.614	3.5
81.114	5	association_2_same_context	34	2	S	flow	67.13	4.5	71.614	9.5	86.114	8
94.114	5	association_1_same_context	35	1	S	display	89.131	4	93.114	1	99.114	3.501
102.615	5	association_2_same_context	35	2	S	display	89.131	4	93.114	9.501	107.615	7.5
115.115	5	association_1_same_context	36	1	S	dozen	110.631	3.5	114.115	1	120.115	3.5
123.615	5	association_2_same_context	36	2	S	dozen	110.631	3.5	114.115	9.5	128.615	7
135.615	5.001	association_1_different_context	37	1	D	twist	131.632	3	134.615	1	140.616	3.5
144.116	5	association_2_different_context	37	2	D	twist	131.632	3	134.615	9.501	149.116	9
158.116	5	association_1_different_context	38	1	D	spot	152.133	5	157.116	1	163.116	3.5
166.616	5	association_2_different_context	38	2	D	spot	152.133	5	157.116	9.5	171.616	7.001
178.617	5	association_1_same_context	39	1	S	city	174.633	3	177.617	1	183.617	3.5
187.117	5	association_2_same_context	39	2	S	city	174.633	3	177.617	9.5	192.117	7.5
199.617	5	association_1_same_context	40	1	S	hill	195.134	3.5	198.617	1	204.617	3.5
208.117	5.001	association_2_same_context	40	2	S	hill	195.134	3.5	198.617	9.5	213.118	-206.015
