onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
14.015	15.012	Hypothesis	desert1	10.016	4	29.027	5
39.023	15.012	Hypothesis	largecity2	34.025	5	54.035	5
63.015	15.012	Hypothesis	zoo1	59.017	4	78.027	5
86.024	15.012	Hypothesis	smallvillage2	83.025	3	101.036	5
109.016	15.012	Hypothesis	earth3	106.017	3	124.028	5
134.025	14.994	Hypothesis	ocean1	129.026	5	149.019	5
169.013	15.011	Synonym	deter	164.014	5	184.024	5
194.038	14.978	Synonym	guard	189.023	5	209.016	5
217.013	15.012	Synonym	banned	214.014	3	232.025	5
241.022	14.995	Synonym	overtaken	237.04	4	256.017	5
265.014	15.011	Synonym	administering	261.015	4	280.025	5
288.023	14.994	Synonym	split	285.04	3	303.017	5
321.028	14.995	Synonym	use	318.012	3	336.023	5
345.02	14.995	Synonym	grown	341.021	4	360.015	5
369.012	15.011	Synonym	refracted	365.013	4	384.023	5
394.02	14.995	Synonym	crumble	389.022	5	409.015	5
417.012	15.012	Synonym	sleep	414.013	3	432.024	5
442.02	14.995	Synonym	allow	437.022	5	457.015	5
476.026	14.995	Hypothesis	bottom	472.044	4	491.021	5
499.018	14.995	Hypothesis	beach	496.019	3	514.013	5
524.026	14.995	Hypothesis	highway	519.044	5	539.021	5
549.018	15.011	Hypothesis	largecity1	544.019	5	564.029	5
572.026	14.995	Hypothesis	forest2	569.028	3	587.021	5
596.018	15.012	Hypothesis	newplanet	592.02	4	611.03	5
