onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
14.015	15.001	Hypothesis	island	10.015	4	29.016	5
37.016	15	Hypothesis	abandoned	34.032	3	52.016	5
61.016	15.001	Hypothesis	hospital	57.016	4	76.017	5
86.017	15.001	Hypothesis	corporation1	81.034	5	101.018	5
109.018	15	Hypothesis	earth1	106.034	3	124.018	5
134.018	15.001	Hypothesis	pond	129.035	5	149.019	5
167.019	15.001	Synonym	received	164.019	3	182.02	5
191.02	15	Synonym	notice	187.037	4	206.02	5
215.021	15	Synonym	mutating	211.021	4	230.021	5
240.021	15.001	Synonym	eating	235.021	5	255.022	5
263.022	15.001	Synonym	evolve	260.022	3	278.023	5
288.023	15	Synonym	taught	283.023	5	303.023	5
323.024	15	Synonym	stain	318.024	5	338.024	5
346.024	15.001	Synonym	claim	343.024	3	361.025	5
371.025	15.001	Synonym	spills	366.025	5	386.026	5
395.026	15	Synonym	removed	391.042	4	410.026	5
418.026	15.001	Synonym	vanished	415.026	3	433.027	5
442.027	15.001	Synonym	seek	438.027	4	457.028	5
475.028	15	Hypothesis	forest1	472.028	3	490.028	5
500.029	14.983	Hypothesis	university	495.045	5	515.012	5
524.029	14.984	Hypothesis	desert2	520.029	4	539.013	5
549.03	14.984	Hypothesis	city	544.013	5	564.014	5
573.014	15.001	Hypothesis	jungle	569.031	4	588.015	5
596.015	15	Hypothesis	earth4	593.031	3	611.015	5
