onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.513	18.501	BAT	slow_thick	10.013	1.5
31.514	18.5	BAT	fresh_green	30.014	1.5
51.514	18.501	BAT	dry_brown	50.014	1.5
71.515	18.5	BAT	fast_exciting	70.015	1.5
91.515	18.501	BAT	precious_hard	90.015	1.5
111.516	28.501	BAT	heavy_warm	110.016	1.5
141.517	18.5	DA	alley	140.017	1.5
161.517	18.501	DA	log	160.017	1.5
181.518	18.5	DA	seat	180.018	1.5
201.518	18.501	DA	coin	200.018	1.5
221.519	18.501	DA	fence	220.019	1.5
241.52	28.5	DA	branch	240.02	1.5
271.52	18.501	META	dog	270.02	1.5
291.521	18.5	META	wind	290.021	1.5
311.521	18.501	META	friend	310.021	1.5
331.522	18.501	META	sun	330.022	1.5
351.523	18.5	META	plant	350.023	1.5
371.523	28.501	META	pillow	370.023	1.5
401.524	18.5	CA	gum	400.024	1.5
421.524	18.501	CA	ladder	420.024	1.5
441.525	18.501	CA	mail	440.025	1.5
461.526	18.5	CA	screen	460.026	1.5
481.526	18.501	CA	robot	480.026	1.5
501.527	28.501	CA	train	500.027	1.5
531.528	18.5	AUT	knife	530.028	1.5
551.528	18.501	AUT	broom	550.028	1.5
571.529	18.483	AUT	pencil	570.029	1.5
591.513	18.5	AUT	lighter	590.012	1.501
611.513	18.501	AUT	purse	610.013	1.5
