onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
13.025	14.993	Hypothesis	island	10.025	3	28.018	5
38.015	15.012	Hypothesis	abandoned	33.017	5	53.027	5
61.024	14.995	Hypothesis	hospital	58.025	3	76.019	5
85.016	15.011	Hypothesis	corporation1	81.017	4	100.027	5
110.024	14.995	Hypothesis	earth1	105.026	5	125.019	5
134.016	15.012	Hypothesis	pond	130.017	4	149.028	5
169.021	15.011	Synonym	received	164.022	5	184.032	5
193.013	15.011	Synonym	notice	189.014	4	208.024	5
217.021	15.012	Synonym	mutating	213.023	4	232.033	5
240.013	15.012	Synonym	eating	237.014	3	255.025	5
263.022	15.012	Synonym	evolve	260.023	3	278.034	5
288.014	15.012	Synonym	taught	283.016	5	303.026	5
321.019	14.995	Synonym	stain	318.02	3	336.014	5
346.028	14.995	Synonym	claim	341.013	5	361.023	5
369.037	14.978	Synonym	spills	366.021	3	384.015	5
393.028	14.995	Synonym	removed	389.013	4	408.023	5
418.037	14.978	Synonym	vanished	413.022	5	433.015	5
442.029	14.994	Synonym	seek	438.013	4	457.023	5
477.017	15.011	Hypothesis	forest1	472.018	5	492.028	5
502.025	14.995	Hypothesis	university	497.027	5	517.02	5
525.017	14.996	Hypothesis	desert2	522.018	3	540.013	5
549.026	14.995	Hypothesis	city	545.027	4	564.021	5
572.018	14.995	Hypothesis	jungle	569.019	3	587.013	5
596.027	14.994	Hypothesis	earth4	592.028	4	611.021	5
