onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
5.62	4.998	association_1_same_context	41	1	S	quarter	1.121	3.5	4.62	1	10.618	3.499
14.117	4.998	association_2_same_context	41	2	S	quarter	1.121	3.5	4.62	9.497	19.115	9.014
28.129	4.998	association_1_different_context	42	1	D	peak	22.114	5	27.146	0.983	33.127	3.499
36.626	4.998	association_2_different_context	42	2	D	peak	22.114	5	27.146	9.48	41.624	8.497
50.121	4.999	association_1_different_context	43	1	D	dip	44.623	4.5	49.122	0.999	55.12	3.499
58.619	4.998	association_2_different_context	43	2	D	dip	44.623	4.5	49.122	9.497	63.617	7.514
71.131	4.982	association_1_different_context	44	1	D	sweep	66.616	3.5	70.115	1.016	76.113	3.515
79.628	4.998	association_2_different_context	44	2	D	sweep	66.616	3.5	70.115	9.513	84.626	6.998
91.624	4.998	association_1_different_context	45	1	D	foot	87.625	3	90.624	1	96.622	3.499
100.121	4.998	association_2_different_context	45	2	D	foot	87.625	3	90.624	9.497	105.119	6.998
112.117	4.998	association_1_same_context	46	1	S	suit	108.118	3	111.117	1	117.115	3.516
120.631	4.982	association_2_same_context	46	2	S	suit	108.118	3	111.117	9.514	125.613	8.513
134.126	4.999	association_1_same_context	47	1	S	mix	128.628	4.5	133.127	0.999	139.125	3.498
142.623	4.999	association_2_same_context	47	2	S	mix	128.628	4.5	133.127	9.496	147.622	7.997
155.619	4.998	association_1_different_context	48	1	D	trail	150.621	4	154.619	1	160.617	3.516
164.133	4.981	association_2_different_context	48	2	D	trail	150.621	4	154.619	9.514	169.114	9.014
178.128	4.998	association_1_same_context	49	1	S	chunk	172.114	5	177.129	0.999	183.126	3.499
186.625	4.999	association_2_same_context	49	2	S	chunk	172.114	5	177.129	9.496	191.624	7.997
199.621	4.998	association_1_same_context	50	1	S	scrap	194.623	4	198.621	1	204.619	3.499
208.118	5.015	association_2_same_context	50	2	S	scrap	194.623	4	198.621	9.497	213.133	-206.507
