onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
5.116	4.999	association_1_same_context	1	1	S	edge	1.118	3	4.117	0.999	10.115	3.498
13.613	5.015	association_2_same_context	1	2	S	edge	1.118	3	4.117	9.496	18.628	8.498
27.126	4.998	association_1_different_context	2	1	D	press	21.627	4.5	26.143	0.983	32.124	3.499
35.623	4.998	association_2_different_context	2	2	D	press	21.627	4.5	26.143	9.48	40.621	6.998
47.619	4.998	association_1_different_context	3	1	D	group	43.62	3	46.619	1	52.617	3.499
56.116	4.998	association_2_different_context	3	2	D	group	43.62	3	46.619	9.497	61.114	9.03
70.144	4.982	association_1_same_context	4	1	S	slip	64.113	5	69.145	0.999	75.126	3.499
78.625	4.998	association_2_same_context	4	2	S	slip	64.113	5	69.145	9.48	83.623	7.498
91.121	4.998	association_1_same_context	5	1	S	head	86.622	3.5	90.121	1	96.119	3.499
99.618	4.998	association_2_same_context	5	2	S	head	86.622	3.5	90.121	9.497	104.616	8.997
113.613	5.032	association_1_different_context	6	1	D	body	107.615	5	112.613	1	118.645	3.482
122.127	4.998	association_2_different_context	6	2	D	body	107.615	5	112.613	9.514	127.125	7.997
135.122	4.999	association_1_same_context	7	1	S	line	130.124	4	134.123	0.999	140.121	3.498
143.619	4.999	association_2_same_context	7	2	S	line	130.124	4	134.123	9.496	148.618	8.497
157.115	4.998	association_1_same_context	8	1	S	hand	151.617	4.5	156.115	1	162.113	3.516
165.629	4.998	association_2_same_context	8	2	S	hand	151.617	4.5	156.115	9.514	170.627	7.997
178.624	4.999	association_1_different_context	9	1	D	cast	173.626	4	177.625	0.999	183.623	3.499
187.122	4.998	association_2_different_context	9	2	D	cast	173.626	4	177.625	9.497	192.12	7.497
199.617	4.999	association_1_different_context	10	1	D	sign	195.119	3.5	198.618	0.999	204.616	3.498
208.114	5.015	association_2_different_context	10	2	D	sign	195.119	3.5	198.618	9.496	213.129	-207.51
