onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
15.001	15	Hypothesis	island	10.001	5	30.001	5
38.001	15.001	Hypothesis	abandoned	35.001	3	53.002	5
63.002	15.001	Hypothesis	hospital	58.002	5	78.003	5
86.003	15	Hypothesis	corporation1	83.003	3	101.003	5
110.003	15.001	Hypothesis	earth1	106.004	4	125.004	5
134.004	15.001	Hypothesis	pond	130.004	4	149.005	5
168.005	15.001	Synonym	received	164.005	4	183.006	5
191.006	15	Synonym	notice	188.022	3	206.006	5
216.006	15.001	Synonym	mutating	211.006	5	231.007	5
239.007	15.001	Synonym	eating	236.024	3	254.008	5
264.008	15	Synonym	evolve	259.024	5	279.008	5
288.008	15.001	Synonym	taught	284.025	4	303.009	5
322.009	15.001	Synonym	stain	318.009	4	337.01	5
346.01	15.001	Synonym	claim	342.01	4	361.011	5
369.011	15	Synonym	spills	366.011	3	384.011	5
391.995	15.017	Synonym	removed	389.028	3	407.012	5
416.995	15.001	Synonym	vanished	412.012	5	431.996	5
441.996	15.001	Synonym	seek	437.029	5	456.997	5
476.997	15.001	Hypothesis	forest1	471.997	5	491.998	5
499.998	15	Hypothesis	university	497.014	3	514.998	5
523.015	14.984	Hypothesis	desert2	520.032	3	537.999	5
547.016	14.983	Hypothesis	city	543.032	4	561.999	5
571.016	15.001	Hypothesis	jungle	567.033	4	586.017	5
596.017	15.001	Hypothesis	earth4	591.034	5	611.018	5
