onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.519	18.5	AUT	candle	10.019	1.5
31.519	18.501	AUT	bucket	30.019	1.5
51.52	18.5	AUT	pillow	50.02	1.5
71.52	18.501	AUT	fork	70.02	1.5
91.521	18.5	AUT	brick	90.021	1.5
111.521	28.501	AUT	lamp	110.021	1.5
141.522	18.501	META	picture	140.022	1.5
161.523	18.5	META	swimmer	160.023	1.5
181.523	18.501	META	hat	180.023	1.5
201.524	18.484	META	bread	200.024	1.5
221.508	18.5	META	star	220.008	1.5
241.509	28.5	META	room	240.008	1.501
271.509	18.501	DA	grass	270.009	1.5
291.51	18.5	DA	sword	290.01	1.5
311.51	18.501	DA	glove	310.01	1.5
331.511	18.501	DA	statue	330.011	1.5
351.512	18.483	DA	palace	350.012	1.5
371.495	28.501	DA	subway	369.995	1.5
401.496	18.501	BAT	big_open	399.996	1.5
421.497	18.5	BAT	sweet_soft	419.997	1.5
441.497	18.501	BAT	round_white	439.997	1.5
461.498	18.501	BAT	liquid_healthy	459.998	1.5
481.499	18.5	BAT	small_wet	479.999	1.5
501.499	28.501	BAT	smooth_angular	499.999	1.5
531.5	18.501	CA	bench	530	1.5
551.501	18.5	CA	coat	550.001	1.5
571.501	18.501	CA	costume	570.001	1.5
591.502	18.5	CA	dock	590.002	1.5
611.502	18.501	CA	drum	610.002	1.5
