onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.497	18.5	AUT	candle	9.997	1.5
31.497	18.501	AUT	bucket	29.997	1.5
51.498	18.5	AUT	pillow	49.998	1.5
71.515	18.501	AUT	fork	69.998	1.517
91.516	18.5	AUT	brick	90.016	1.5
111.516	28.501	AUT	lamp	110.016	1.5
141.517	18.501	META	picture	140.017	1.5
161.518	18.5	META	swimmer	160.018	1.5
181.518	18.501	META	hat	180.018	1.5
201.519	18.5	META	bread	200.019	1.5
221.519	18.501	META	star	220.019	1.5
241.52	28.501	META	room	240.02	1.5
271.521	18.5	DA	grass	270.021	1.5
291.521	18.501	DA	sword	290.021	1.5
311.522	18.5	DA	glove	310.022	1.5
331.522	18.501	DA	statue	330.022	1.5
351.523	18.501	DA	palace	350.023	1.5
371.524	28.5	DA	subway	370.024	1.5
401.524	18.501	BAT	big_open	400.024	1.5
421.525	18.501	BAT	sweet_soft	420.025	1.5
441.526	18.5	BAT	round_white	440.026	1.5
461.526	18.501	BAT	liquid_healthy	460.026	1.5
481.527	18.5	BAT	small_wet	480.027	1.5
501.527	28.501	BAT	smooth_angular	500.027	1.5
531.528	18.484	CA	bench	530.028	1.5
551.529	18.484	CA	coat	550.012	1.517
571.513	18.5	CA	costume	570.013	1.5
591.513	18.501	CA	dock	590.013	1.5
611.514	18.5	CA	drum	610.014	1.5
