onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
14.018	15.001	Synonym	received	10.018	4	29.019	5
37.019	15.001	Synonym	notice	34.019	3	52.02	5
60.003	15.001	Synonym	mutating	57.036	3	75.004	5
85.004	15	Synonym	eating	80.02	5	100.004	5
109.004	15.001	Synonym	evolve	105.021	4	124.005	5
134.005	15.001	Synonym	taught	129.005	5	149.006	5
169.006	15.001	Hypothesis	island	164.006	5	184.007	5
193.007	15	Hypothesis	abandoned	189.023	4	208.007	5
216.007	15.001	Hypothesis	hospital	213.007	3	231.008	5
240.008	15.001	Hypothesis	corporation1	236.008	4	255.009	5
265.009	15	Hypothesis	earth1	260.009	5	280.009	5
288.009	15.001	Hypothesis	pond	285.026	3	303.01	5
322.01	15.001	Hypothesis	forest1	318.01	4	337.011	5
346.011	15.001	Hypothesis	university	342.011	4	361.012	5
369.012	14.984	Hypothesis	desert2	366.012	3	383.996	5
393.996	15	Hypothesis	city	389.029	5	408.996	5
416.996	15.001	Hypothesis	jungle	414.013	3	431.997	5
441.997	15.001	Hypothesis	earth4	437.014	5	456.998	5
476.998	15.001	Synonym	stain	471.998	5	491.999	5
500.999	15	Synonym	claim	497.015	4	515.999	5
523.999	15.001	Synonym	spills	521.016	3	539	5
547	15.001	Synonym	removed	544.017	3	562.001	5
571.001	15	Synonym	vanished	567.034	4	586.001	5
596.001	15.001	Synonym	seek	591.018	5	611.002	5
