onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
13.021	15.001	Synonym	received	10.021	3	28.022	5
36.022	15	Synonym	notice	33.022	3	51.022	5
60.023	15	Synonym	mutating	56.023	4	75.023	5
85.023	15.001	Synonym	eating	80.023	5	100.024	5
110.024	15	Synonym	evolve	105.024	5	125.024	5
134.025	15	Synonym	taught	130.025	4	149.025	5
168.026	15	Hypothesis	island	164.025	4	183.026	5
192.026	15.001	Hypothesis	abandoned	188.026	4	207.027	5
215.027	15	Hypothesis	hospital	212.027	3	230.027	5
238.027	15.001	Hypothesis	corporation1	235.027	3	253.028	5
263.028	15.001	Hypothesis	earth1	258.028	5	278.029	5
288.012	15.001	Hypothesis	pond	283.029	5	303.013	5
322.013	15	Hypothesis	forest1	318.013	4	337.013	5
345.014	15	Hypothesis	university	342.014	3	360.014	5
369.014	15.001	Hypothesis	desert2	365.014	4	384.015	5
392.015	15	Hypothesis	city	389.015	3	407.015	5
417.016	15	Hypothesis	jungle	412.015	5	432.016	5
442.016	15.001	Hypothesis	earth4	437.016	5	457.017	5
476.017	15.001	Synonym	stain	472.017	4	491.018	5
500.018	15	Synonym	claim	496.018	4	515.018	5
523.018	15.001	Synonym	spills	520.018	3	538.019	5
548.019	15.001	Synonym	removed	543.019	5	563.02	5
573.02	15	Synonym	vanished	568.02	5	588.02	5
596.02	15.001	Synonym	seek	593.02	3	611.021	5
