onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
13.013	15.001	Synonym	deter	10.013	3	28.014	5
38.014	15.001	Synonym	guard	33.014	5	53.015	5
63.015	15	Synonym	banned	58.015	5	78.015	5
86.015	15.001	Synonym	overtaken	83.015	3	101.016	5
110.016	15	Synonym	administering	106.016	4	125.016	5
134.017	15	Synonym	split	130.017	4	149.017	5
167.018	15	Hypothesis	desert1	164.017	3	182.018	5
191.018	15.001	Hypothesis	largecity2	187.018	4	206.019	5
214.019	15	Hypothesis	zoo1	211.019	3	229.019	5
238.02	15	Hypothesis	smallvillage2	234.019	4	253.02	5
263.02	15.001	Hypothesis	earth3	258.02	5	278.021	5
288.021	15	Hypothesis	ocean1	283.021	5	303.021	5
323.022	15	Hypothesis	bottom	318.022	5	338.022	5
347.022	15.001	Hypothesis	beach	343.022	4	362.023	5
370.023	15	Hypothesis	highway	367.023	3	385.023	5
394.024	15	Hypothesis	largecity1	390.024	4	409.024	5
419.024	15.001	Hypothesis	forest2	414.024	5	434.025	5
442.008	15.001	Hypothesis	newplanet	439.008	3	457.009	5
475.009	15.001	Synonym	use	472.009	3	490.01	5
498.01	15	Synonym	grown	495.01	3	513.01	5
522.01	15.001	Synonym	refracted	518.01	4	537.011	5
547.011	15.001	Synonym	crumble	542.011	5	562.012	5
571.012	14.983	Synonym	sleep	567.012	4	585.995	5
595.996	15	Synonym	allow	590.996	5	610.996	5
