onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
15.01	15	Hypothesis	desert1	10.01	5	30.01	5
39.011	15	Hypothesis	largecity2	35.011	4	54.011	5
62.011	15.001	Hypothesis	zoo1	59.011	3	77.012	5
86.012	14.984	Hypothesis	smallvillage2	82.012	4	100.996	5
111.013	14.983	Hypothesis	earth3	106.029	5	125.996	5
134.013	14.984	Hypothesis	ocean1	131.013	3	148.997	5
168.014	14.984	Synonym	deter	163.997	4	182.998	5
193.015	14.984	Synonym	guard	188.015	5	207.999	5
216.999	15	Synonym	banned	213.016	4	231.999	5
240	15	Synonym	overtaken	237.016	3	255	5
265	15.001	Synonym	administering	260.017	5	280.001	5
288.001	15	Synonym	split	285.018	3	303.001	5
323.002	15	Synonym	use	318.002	5	338.002	5
346.003	15	Synonym	grown	343.019	3	361.003	5
371.003	15.001	Synonym	refracted	366.02	5	386.004	5
395.004	15	Synonym	crumble	391.021	4	410.004	5
418.005	15	Synonym	sleep	415.021	3	433.005	5
442.005	15.001	Synonym	allow	438.006	4	457.006	5
475.023	14.984	Hypothesis	bottom	472.006	3	490.007	5
499.007	15	Hypothesis	beach	495.04	4	514.007	5
522.024	14.984	Hypothesis	highway	519.024	3	537.008	5
547.025	14.984	Hypothesis	largecity1	542.041	5	562.009	5
572.026	15	Hypothesis	forest2	567.042	5	587.026	5
596.026	15.001	Hypothesis	newplanet	592.026	4	611.027	5
