onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.527	18.5	AUT	candle	10.027	1.5
31.527	18.501	AUT	bucket	30.027	1.5
51.528	18.5	AUT	pillow	50.028	1.5
71.528	18.484	AUT	fork	70.028	1.5
91.512	18.501	AUT	brick	90.012	1.5
111.513	28.501	AUT	lamp	110.013	1.5
141.514	18.5	META	picture	140.014	1.5
161.514	18.501	META	swimmer	160.014	1.5
181.515	18.5	META	hat	180.015	1.5
201.515	18.501	META	bread	200.015	1.5
221.516	18.5	META	star	220.016	1.5
241.517	28.5	META	room	240.016	1.501
271.517	18.501	DA	grass	270.017	1.5
291.518	18.5	DA	sword	290.018	1.5
311.519	18.5	DA	glove	310.018	1.501
331.519	18.501	DA	statue	330.019	1.5
351.52	18.5	DA	palace	350.02	1.5
371.52	28.501	DA	subway	370.02	1.5
401.521	18.501	BAT	big_open	400.021	1.5
421.522	18.5	BAT	sweet_soft	420.022	1.5
441.522	18.501	BAT	round_white	440.022	1.5
461.523	18.5	BAT	liquid_healthy	460.023	1.5
481.523	18.501	BAT	small_wet	480.023	1.5
501.524	28.501	BAT	smooth_angular	500.024	1.5
531.525	18.5	CA	bench	530.025	1.5
551.525	18.501	CA	coat	550.025	1.5
571.526	18.5	CA	costume	570.026	1.5
591.526	18.501	CA	dock	590.026	1.5
611.527	18.5	CA	drum	610.027	1.5
