onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
13.021	15.001	Synonym	deter	10.021	3	28.022	5
38.022	15	Synonym	guard	33.022	5	53.022	5
62.023	15	Synonym	banned	58.039	4	77.023	5
87.023	15.001	Synonym	overtaken	82.023	5	102.024	5
111.024	15	Synonym	administering	107.041	4	126.024	5
134.025	15	Synonym	split	131.025	3	149.025	5
168.026	15	Hypothesis	desert1	164.026	4	183.026	5
192.026	15.001	Hypothesis	largecity2	188.026	4	207.027	5
217.027	15.001	Hypothesis	zoo1	212.027	5	232.028	5
242.028	15	Hypothesis	smallvillage2	237.028	5	257.028	5
265.028	14.984	Hypothesis	earth3	262.028	3	280.012	5
288.012	15.001	Hypothesis	ocean1	285.029	3	303.013	5
323.013	15.001	Hypothesis	bottom	318.013	5	338.014	5
347.014	15	Hypothesis	beach	343.031	4	362.014	5
372.015	15	Hypothesis	highway	367.031	5	387.015	5
395.015	15.001	Hypothesis	largecity1	392.049	3	410.016	5
418.016	15	Hypothesis	forest2	415.033	3	433.016	5
442.017	15	Hypothesis	newplanet	438.017	4	457.017	5
475.018	15	Synonym	use	472.018	3	490.018	5
500.018	15.001	Synonym	grown	495.035	5	515.019	5
524.019	15	Synonym	refracted	520.036	4	539.019	5
548.02	15	Synonym	crumble	544.036	4	563.02	5
573.02	15.001	Synonym	sleep	568.037	5	588.021	5
596.021	15	Synonym	allow	593.038	3	611.021	5
