onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
5.104	5.001	association_1_different_context	31	1	D	flag	1.104	3	4.104	1	10.105	3.5
13.605	5	association_2_different_context	31	2	D	flag	1.104	3	4.104	9.501	18.605	7.5
26.105	5	association_1_different_context	32	1	D	launch	21.605	3.5	25.105	1	31.105	3.5
34.605	5	association_2_different_context	32	2	D	launch	21.605	3.5	25.105	9.5	39.605	7.501
47.106	5	association_1_different_context	33	1	D	road	42.622	3.5	46.106	1	52.106	3.5
55.606	5	association_2_different_context	33	2	D	road	42.622	3.5	46.106	9.5	60.606	9
69.606	5	association_1_same_context	34	1	S	flow	63.606	5	68.606	1	74.606	3.5
78.106	5.001	association_2_same_context	34	2	S	flow	63.606	5	68.606	9.5	83.107	8
91.107	5	association_1_same_context	35	1	S	display	86.123	4	90.107	1	96.107	3.5
99.607	5	association_2_same_context	35	2	S	display	86.123	4	90.107	9.5	104.607	8.5
113.107	5.001	association_1_same_context	36	1	S	dozen	107.607	4.5	112.107	1	118.108	3.5
121.608	5	association_2_same_context	36	2	S	dozen	107.607	4.5	112.107	9.501	126.608	9
135.608	5	association_1_different_context	37	1	D	twist	129.608	5	134.608	1	140.608	3.5
144.108	5.017	association_2_different_context	37	2	D	twist	129.608	5	134.608	9.5	149.125	8.484
157.609	5	association_1_different_context	38	1	D	spot	152.109	4.5	156.609	1	162.609	3.5
166.109	5	association_2_different_context	38	2	D	spot	152.109	4.5	156.609	9.5	171.109	8
179.109	5	association_1_same_context	39	1	S	city	174.126	4	178.126	0.983	184.109	3.5
187.609	5.001	association_2_same_context	39	2	S	city	174.126	4	178.126	9.483	192.61	7
199.61	5	association_1_same_context	40	1	S	hill	195.61	3	198.61	1	204.61	3.5
208.11	5	association_2_same_context	40	2	S	hill	195.61	3	198.61	9.5	213.11	-206.984
