onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
15.024	15.001	Hypothesis	island	10.024	5	30.025	5
38.025	15	Hypothesis	abandoned	35.042	3	53.025	5
63.026	15	Hypothesis	hospital	58.026	5	78.026	5
87.026	15.001	Hypothesis	corporation1	83.026	4	102.027	5
110.027	15	Hypothesis	earth1	107.027	3	125.027	5
134.028	15	Hypothesis	pond	130.028	4	149.028	5
169.012	15	Synonym	received	164.029	5	184.012	5
192.013	15	Synonym	notice	189.046	3	207.013	5
217.013	15.001	Synonym	mutating	212.047	5	232.014	5
241.015	15	Synonym	eating	237.031	4	256.015	5
265.015	15	Synonym	evolve	261.031	4	280.015	5
288.015	15.001	Synonym	taught	285.032	3	303.016	5
322.016	14.984	Synonym	stain	318.016	4	337	5
347	15.001	Synonym	claim	342	5	362.001	5
372.001	15.001	Synonym	spills	367.001	5	387.002	5
395.002	15	Synonym	removed	392.018	3	410.002	5
419.002	15.001	Synonym	vanished	415.002	4	434.003	5
442.003	15.001	Synonym	seek	439.02	3	457.004	5
475.004	15	Hypothesis	forest1	472.004	3	490.004	5
499.005	15	Hypothesis	university	495.021	4	514.005	5
524.005	15.001	Hypothesis	desert2	519.022	5	539.006	5
548.006	15.001	Hypothesis	city	544.023	4	563.007	5
573.007	15	Hypothesis	jungle	568.007	5	588.007	5
596.007	15.001	Hypothesis	earth4	593.024	3	611.008	5
