onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.513	18.501	AUT	candle	10.013	1.5
31.514	18.5	AUT	bucket	30.014	1.5
51.514	18.501	AUT	pillow	50.014	1.5
71.515	18.5	AUT	fork	70.015	1.5
91.515	18.501	AUT	brick	90.015	1.5
111.516	28.501	AUT	lamp	110.016	1.5
141.517	18.5	META	picture	140.017	1.5
161.517	18.501	META	swimmer	160.017	1.5
181.518	18.5	META	hat	180.018	1.5
201.518	18.501	META	bread	200.018	1.5
221.519	18.501	META	star	220.019	1.5
241.52	28.5	META	room	240.02	1.5
271.52	18.501	DA	grass	270.02	1.5
291.521	18.5	DA	sword	290.021	1.5
311.521	18.501	DA	glove	310.021	1.5
331.522	18.501	DA	statue	330.022	1.5
351.523	18.5	DA	palace	350.023	1.5
371.523	28.501	DA	subway	370.023	1.5
401.524	18.5	BAT	big_open	400.024	1.5
421.525	18.5	BAT	sweet_soft	420.024	1.501
441.525	18.501	BAT	round_white	440.025	1.5
461.526	18.5	BAT	liquid_healthy	460.026	1.5
481.526	18.501	BAT	small_wet	480.026	1.5
501.527	28.501	BAT	smooth_angular	500.027	1.5
531.528	18.5	CA	bench	530.028	1.5
551.528	18.501	CA	coat	550.028	1.5
571.529	18.467	CA	costume	570.029	1.5
591.496	18.5	CA	dock	589.996	1.5
611.496	18.501	CA	drum	609.996	1.5
