onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.524	18.5	AUT	candle	10.023	1.501
31.524	18.501	AUT	bucket	30.024	1.5
51.525	18.5	AUT	pillow	50.025	1.5
71.525	18.501	AUT	fork	70.025	1.5
91.526	18.5	AUT	brick	90.026	1.5
111.526	28.501	AUT	lamp	110.026	1.5
141.527	18.501	META	picture	140.027	1.5
161.528	18.5	META	swimmer	160.028	1.5
181.528	18.484	META	hat	180.028	1.5
201.512	18.501	META	bread	200.012	1.5
221.513	18.5	META	star	220.013	1.5
241.513	28.501	META	room	240.013	1.5
271.514	18.501	DA	grass	270.014	1.5
291.515	18.5	DA	sword	290.015	1.5
311.515	18.501	DA	glove	310.015	1.5
331.516	18.5	DA	statue	330.016	1.5
351.516	18.501	DA	palace	350.016	1.5
371.517	28.501	DA	subway	370.017	1.5
401.518	18.5	BAT	big_open	400.018	1.5
421.518	18.501	BAT	sweet_soft	420.018	1.5
441.519	18.501	BAT	round_white	440.019	1.5
461.52	18.5	BAT	liquid_healthy	460.02	1.5
481.52	18.501	BAT	small_wet	480.02	1.5
501.521	28.5	BAT	smooth_angular	500.021	1.5
531.521	18.501	CA	bench	530.021	1.5
551.522	18.501	CA	coat	550.022	1.5
571.523	18.5	CA	costume	570.023	1.5
591.523	18.501	CA	dock	590.023	1.5
611.524	18.5	CA	drum	610.024	1.5
