onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.515	18.501	CA	bench	10.015	1.5
31.516	18.5	CA	coat	30.016	1.5
51.516	18.501	CA	costume	50.016	1.5
71.517	18.5	CA	dock	70.017	1.5
91.517	18.501	CA	drum	90.017	1.5
111.518	28.501	CA	engine	110.018	1.5
141.519	18.5	DA	grass	140.019	1.5
161.519	18.501	DA	sword	160.019	1.5
181.52	18.5	DA	glove	180.02	1.5
201.52	18.501	DA	statue	200.02	1.5
221.521	18.501	DA	palace	220.021	1.5
241.522	28.5	DA	subway	240.022	1.5
271.522	18.501	BAT	big_open	270.022	1.5
291.523	18.501	BAT	sweet_soft	290.023	1.5
311.524	18.5	BAT	round_white	310.024	1.5
331.524	18.501	BAT	liquid_healthy	330.024	1.5
351.525	18.5	BAT	small_wet	350.025	1.5
371.525	28.501	BAT	smooth_angular	370.025	1.5
401.526	18.501	AUT	candle	400.026	1.5
421.527	18.5	AUT	bucket	420.027	1.5
441.527	18.501	AUT	pillow	440.027	1.5
461.528	18.5	AUT	fork	460.028	1.5
481.528	18.484	AUT	brick	480.028	1.5
501.512	28.501	AUT	lamp	500.012	1.5
531.513	18.5	META	picture	530.013	1.5
551.514	18.5	META	swimmer	550.013	1.501
571.514	18.501	META	hat	570.014	1.5
591.515	18.5	META	bread	590.015	1.5
611.515	18.501	META	star	610.015	1.5
