onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
14.017	15	Synonym	received	10.017	4	29.017	5
39.017	15.001	Synonym	notice	34.017	5	54.018	5
62.018	15	Synonym	mutating	59.035	3	77.018	5
85.019	15	Synonym	eating	82.035	3	100.019	5
110.019	15.001	Synonym	evolve	105.036	5	125.02	5
134.02	15.001	Synonym	taught	130.037	4	149.021	5
167.021	15	Hypothesis	island	164.021	3	182.021	5
191.022	15	Hypothesis	abandoned	187.038	4	206.022	5
215.022	15.001	Hypothesis	hospital	211.039	4	230.023	5
240.023	15.001	Hypothesis	corporation1	235.023	5	255.024	5
265.024	15	Hypothesis	earth1	260.024	5	280.024	5
288.024	15.001	Hypothesis	pond	285.041	3	303.025	5
321.025	15.001	Hypothesis	forest1	318.025	3	336.026	5
346.026	15.001	Hypothesis	university	341.026	5	361.027	5
370.027	15	Hypothesis	desert2	366.027	4	385.027	5
393.027	15.001	Hypothesis	city	390.027	3	408.028	5
418.028	15	Hypothesis	jungle	413.028	5	433.028	5
442.012	15.001	Hypothesis	earth4	438.029	4	457.013	5
476.013	15	Synonym	stain	472.013	4	491.013	5
500.014	15	Synonym	claim	496.03	4	515.014	5
523.014	15.001	Synonym	spills	520.031	3	538.015	5
546.015	15	Synonym	removed	543.032	3	561.015	5
571.016	15	Synonym	vanished	566.032	5	586.016	5
596.016	15.001	Synonym	seek	591.033	5	611.017	5
