onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
5.613	5	association_1_different_context	31	1	D	flag	1.112	3.5	4.613	1	10.613	3.5
14.113	5	association_2_different_context	31	2	D	flag	1.112	3.5	4.613	9.5	19.113	7.5
26.613	5	association_1_different_context	32	1	D	launch	22.113	3.5	25.613	1	31.613	3.5
35.113	5	association_2_different_context	32	2	D	launch	22.113	3.5	25.613	9.5	40.113	8.001
48.114	5	association_1_different_context	33	1	D	road	43.114	4	47.114	1	53.114	3.5
56.614	5	association_2_different_context	33	2	D	road	43.114	4	47.114	9.5	61.614	9
70.614	5	association_1_same_context	34	1	S	flow	64.614	5	69.614	1	75.614	3.501
79.115	5	association_2_same_context	34	2	S	flow	64.614	5	69.614	9.501	84.115	8.5
92.615	5	association_1_same_context	35	1	S	display	87.115	4.5	91.615	1	97.615	3.5
101.115	5	association_2_same_context	35	2	S	display	87.115	4.5	91.615	9.5	106.115	9
115.115	5.001	association_1_same_context	36	1	S	dozen	109.115	5	114.115	1	120.116	3.5
123.616	5	association_2_same_context	36	2	S	dozen	109.115	5	114.115	9.501	128.616	7
135.616	5	association_1_different_context	37	1	D	twist	131.616	3	134.616	1	140.616	3.5
144.116	5	association_2_different_context	37	2	D	twist	131.616	3	134.616	9.5	149.116	7.001
156.117	5	association_1_different_context	38	1	D	spot	152.116	3	155.117	1	161.117	3.5
164.617	5	association_2_different_context	38	2	D	spot	152.116	3	155.117	9.5	169.617	8
177.617	5	association_1_same_context	39	1	S	city	172.617	4	176.617	1	182.617	3.5
186.117	5.001	association_2_same_context	39	2	S	city	172.617	4	176.617	9.5	191.118	8.5
199.618	5	association_1_same_context	40	1	S	hill	194.118	4.5	198.618	1	204.618	3.5
208.118	5	association_2_same_context	40	2	S	hill	194.118	4.5	198.618	9.5	213.118	-207.512
