onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.525	18.501	AUT	candle	10.025	1.5
31.526	18.5	AUT	bucket	30.026	1.5
51.526	18.501	AUT	pillow	50.026	1.5
71.527	18.501	AUT	fork	70.027	1.5
91.528	18.5	AUT	brick	90.028	1.5
111.528	28.484	AUT	lamp	110.028	1.5
141.512	18.501	META	picture	140.012	1.5
161.513	18.501	META	swimmer	160.013	1.5
181.514	18.5	META	hat	180.014	1.5
201.514	18.501	META	bread	200.014	1.5
221.515	18.5	META	star	220.015	1.5
241.515	28.501	META	room	240.015	1.5
271.516	18.501	DA	grass	270.016	1.5
291.517	18.5	DA	sword	290.017	1.5
311.517	18.501	DA	glove	310.017	1.5
331.518	18.5	DA	statue	330.018	1.5
351.518	18.501	DA	palace	350.018	1.5
371.519	28.501	DA	subway	370.019	1.5
401.52	18.5	BAT	big_open	400.02	1.5
421.52	18.501	BAT	sweet_soft	420.02	1.5
441.521	18.5	BAT	round_white	440.021	1.5
461.521	18.501	BAT	liquid_healthy	460.021	1.5
481.522	18.5	BAT	small_wet	480.022	1.5
501.523	28.5	BAT	smooth_angular	500.022	1.501
531.523	18.501	CA	bench	530.023	1.5
551.524	18.501	CA	coat	550.024	1.5
571.525	18.5	CA	costume	570.025	1.5
591.525	18.501	CA	dock	590.025	1.5
611.526	18.5	CA	drum	610.026	1.5
