onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
5.124	5	association_1_same_context	1	1	S	edge	1.124	3	4.124	1	10.124	3.501
13.625	5	association_2_same_context	1	2	S	edge	1.124	3	4.124	9.501	18.625	8.5
27.125	5	association_1_different_context	2	1	D	press	21.641	4.5	26.125	1	32.125	3.5
35.625	5	association_2_different_context	2	2	D	press	21.641	4.5	26.125	9.5	40.625	9
49.625	5.001	association_1_different_context	3	1	D	group	43.642	5	48.625	1	54.626	3.5
58.126	5	association_2_different_context	3	2	D	group	43.642	5	48.625	9.501	63.126	8
71.126	5	association_1_same_context	4	1	S	slip	66.126	4	70.126	1	76.126	3.5
79.626	5	association_2_same_context	4	2	S	slip	66.126	4	70.126	9.5	84.626	8.001
92.627	5	association_1_same_context	5	1	S	head	87.627	4	91.627	1	97.627	3.5
101.127	5	association_2_same_context	5	2	S	head	87.627	4	91.627	9.5	106.127	9
115.127	5	association_1_different_context	6	1	D	body	109.144	5	114.127	1	120.127	3.5
123.627	5.001	association_2_different_context	6	2	D	body	109.144	5	114.127	9.5	128.628	7.5
136.128	5	association_1_same_context	7	1	S	line	131.628	3.5	135.128	1	141.128	3.5
144.628	5	association_2_same_context	7	2	S	line	131.628	3.5	135.128	9.5	149.628	7.5
157.128	5.001	association_1_same_context	8	1	S	hand	152.629	3.5	156.112	1.016	162.129	3.483
165.612	5	association_2_same_context	8	2	S	hand	152.629	3.5	156.112	9.5	170.612	8.5
179.112	5.001	association_1_different_context	9	1	D	cast	173.629	4.5	178.112	1	184.113	3.5
187.613	5	association_2_different_context	9	2	D	cast	173.629	4.5	178.112	9.501	192.613	7
199.613	5	association_1_different_context	10	1	D	sign	195.63	3	198.613	1	204.613	3.5
208.113	5	association_2_different_context	10	2	D	sign	195.63	3	198.613	9.5	213.113	-206.991
