onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
13.009	15	Hypothesis	island	10.009	3	28.009	5
38.01	15	Hypothesis	abandoned	33.01	5	53.01	5
63.01	15.001	Hypothesis	hospital	58.027	5	78.011	5
86.011	15.001	Hypothesis	corporation1	83.011	3	101.012	5
109.995	15.001	Hypothesis	earth1	106.028	4	124.996	5
133.996	15	Hypothesis	pond	130.012	4	148.996	5
167.997	15	Synonym	received	163.997	4	182.997	5
190.997	15.001	Synonym	notice	188.031	3	205.998	5
214.998	15.001	Synonym	mutating	211.031	4	229.999	5
239.999	15	Synonym	eating	235.015	5	254.999	5
265	15	Synonym	evolve	260.016	5	280	5
288.017	14.984	Synonym	taught	285.034	3	303.001	5
323.001	15.001	Synonym	stain	318.001	5	338.002	5
346.019	14.983	Synonym	claim	343.035	3	361.002	5
371.019	14.984	Synonym	spills	366.019	5	386.003	5
394.02	15	Synonym	removed	391.037	3	409.02	5
418.021	15	Synonym	vanished	414.037	4	433.021	5
442.021	15.001	Synonym	seek	438.038	4	457.022	5
475.022	15.001	Hypothesis	forest1	472.022	3	490.023	5
498.023	15	Hypothesis	university	495.04	3	513.023	5
523.024	15	Hypothesis	desert2	518.024	5	538.024	5
547.024	15.001	Hypothesis	city	543.024	4	562.025	5
571.025	15.001	Hypothesis	jungle	567.042	4	586.026	5
596.026	15	Hypothesis	earth4	591.026	5	611.026	5
