onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
5.117	5	association_1_same_context	21	1	S	forge	1.116	3	4.116	1.001	10.117	3.5
13.617	5	association_2_same_context	21	2	S	forge	1.116	3	4.116	9.501	18.617	9
27.617	5	association_1_different_context	22	1	D	cross	21.634	5	26.617	1	32.617	3.5
36.117	5.001	association_2_different_context	22	2	D	cross	21.634	5	26.617	9.5	41.118	7.5
48.618	5	association_1_different_context	23	1	D	height	44.134	3.5	47.618	1	53.618	3.5
57.118	5	association_2_different_context	23	2	D	height	44.134	3.5	47.618	9.5	62.118	7.5
69.618	5	association_1_different_context	24	1	D	spark	65.135	3.5	68.618	1	74.618	3.501
78.119	5	association_2_different_context	24	2	D	spark	65.135	3.5	68.618	9.501	83.119	7
90.119	5	association_1_same_context	25	1	S	den	86.136	3	89.119	1	95.119	3.5
98.619	5	association_2_same_context	25	2	S	den	86.136	3	89.119	9.5	103.619	9.001
112.62	5	association_1_same_context	26	1	S	list	106.636	5	111.62	1	117.62	3.5
121.12	5	association_2_same_context	26	2	S	list	106.636	5	111.62	9.5	126.12	8.5
134.62	5	association_1_same_context	27	1	S	exit	129.137	4.5	133.62	1	139.62	3.5
143.12	5.001	association_2_same_context	27	2	S	exit	129.137	4.5	133.62	9.5	148.121	8
156.121	5	association_1_different_context	28	1	D	mat	151.137	4	155.121	1	161.121	3.5
164.621	5	association_2_different_context	28	2	D	mat	151.137	4	155.121	9.5	169.621	8
177.621	5.001	association_1_different_context	29	1	D	lookout	172.621	4	176.621	1	182.622	3.5
186.122	5	association_2_different_context	29	2	D	lookout	172.621	4	176.621	9.501	191.122	8.5
199.622	5	association_1_same_context	30	1	S	fold	194.139	4.5	198.623	0.999	204.622	3.5
208.122	5.001	association_2_same_context	30	2	S	fold	194.139	4.5	198.623	9.499	213.123	-206.501
