onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.503	18.501	BAT	slow_thick	10.003	1.5
31.504	18.5	BAT	fresh_green	30.004	1.5
51.504	18.501	BAT	dry_brown	50.004	1.5
71.505	18.5	BAT	fast_exciting	70.005	1.5
91.505	18.501	BAT	precious_hard	90.005	1.5
111.506	28.501	BAT	heavy_warm	110.006	1.5
141.507	18.5	DA	alley	140.007	1.5
161.507	18.501	DA	log	160.007	1.5
181.508	18.5	DA	seat	180.008	1.5
201.508	18.501	DA	coin	200.008	1.5
221.509	18.5	DA	fence	220.009	1.5
241.51	28.5	DA	branch	240.009	1.501
271.51	18.501	META	dog	270.01	1.5
291.511	18.5	META	wind	290.011	1.5
311.511	18.501	META	friend	310.011	1.5
331.512	18.484	META	sun	330.012	1.5
351.496	18.5	META	plant	349.996	1.5
371.496	28.501	META	pillow	369.996	1.5
401.497	18.501	CA	gum	399.997	1.5
421.498	18.5	CA	ladder	419.998	1.5
441.498	18.501	CA	mail	439.998	1.5
461.499	18.5	CA	screen	459.999	1.5
481.499	18.518	CA	robot	479.999	1.5
501.517	28.5	CA	train	500.017	1.5
531.517	18.501	AUT	knife	530.017	1.5
551.518	18.501	AUT	broom	550.018	1.5
571.519	18.5	AUT	pencil	570.019	1.5
591.519	18.501	AUT	lighter	590.019	1.5
611.52	18.5	AUT	purse	610.02	1.5
