onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.517	18.5	BAT	slow_thick	10.017	1.5
31.517	18.501	BAT	fresh_green	30.017	1.5
51.518	18.5	BAT	dry_brown	50.018	1.5
71.518	18.501	BAT	fast_exciting	70.018	1.5
91.519	18.5	BAT	precious_hard	90.019	1.5
111.519	28.501	BAT	heavy_warm	110.019	1.5
141.52	18.501	DA	alley	140.02	1.5
161.521	18.5	DA	log	160.021	1.5
181.521	18.501	DA	seat	180.021	1.5
201.522	18.501	DA	coin	200.022	1.5
221.523	18.5	DA	fence	220.023	1.5
241.523	28.501	DA	branch	240.023	1.5
271.524	18.5	META	dog	270.024	1.5
291.524	18.501	META	wind	290.024	1.5
311.525	18.501	META	friend	310.025	1.5
331.526	18.5	META	sun	330.026	1.5
351.526	18.501	META	plant	350.026	1.5
371.527	28.5	META	pillow	370.027	1.5
401.528	18.5	CA	gum	400.027	1.501
421.528	18.501	CA	ladder	420.028	1.5
441.529	18.467	CA	mail	440.029	1.5
461.496	18.5	CA	screen	459.996	1.5
481.496	18.501	CA	robot	479.996	1.5
501.497	28.501	CA	train	499.997	1.5
531.498	18.5	AUT	knife	529.998	1.5
551.498	18.501	AUT	broom	549.998	1.5
571.499	18.5	AUT	pencil	569.999	1.5
591.499	18.501	AUT	lighter	589.999	1.5
611.5	18.5	AUT	purse	610	1.5
