onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
5.62	5	association_1_different_context	31	1	D	flag	1.12	3.5	4.62	1	10.62	3.5
14.12	5	association_2_different_context	31	2	D	flag	1.12	3.5	4.62	9.5	19.12	9.001
28.121	5	association_1_different_context	32	1	D	launch	22.12	5	27.12	1.001	33.121	3.5
36.621	5	association_2_different_context	32	2	D	launch	22.12	5	27.12	9.501	41.621	9
50.621	5	association_1_different_context	33	1	D	road	44.621	5	49.621	1	55.621	3.5
59.121	5	association_2_different_context	33	2	D	road	44.621	5	49.621	9.5	64.121	8.001
72.122	5	association_1_same_context	34	1	S	flow	67.138	4	71.122	1	77.122	3.5
80.622	5	association_2_same_context	34	2	S	flow	67.138	4	71.122	9.5	85.622	8.5
94.122	5	association_1_same_context	35	1	S	display	88.639	4.5	93.122	1	99.122	3.501
102.623	5	association_2_same_context	35	2	S	display	88.639	4.5	93.122	9.501	107.623	8
115.623	5	association_1_same_context	36	1	S	dozen	110.639	4	114.623	1	120.623	3.5
124.123	5	association_2_same_context	36	2	S	dozen	110.639	4	114.623	9.5	129.123	7.001
136.124	5	association_1_different_context	37	1	D	twist	132.14	3	135.123	1.001	141.124	3.5
144.624	5	association_2_different_context	37	2	D	twist	132.14	3	135.123	9.501	149.624	7
156.624	5	association_1_different_context	38	1	D	spot	152.624	3	155.624	1	161.624	3.5
165.124	5	association_2_different_context	38	2	D	spot	152.624	3	155.624	9.5	170.124	8.501
178.625	5	association_1_same_context	39	1	S	city	173.141	4.5	177.625	1	183.625	3.5
187.125	5	association_2_same_context	39	2	S	city	173.141	4.5	177.625	9.5	192.125	7.5
199.625	5	association_1_same_context	40	1	S	hill	195.142	3.5	198.625	1	204.625	3.501
208.126	5	association_2_same_context	40	2	S	hill	195.142	3.5	198.625	9.501	213.126	-206.007
