onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
14.006	15.001	Synonym	received	10.006	4	29.007	5
39.007	15	Synonym	notice	34.04	5	54.007	5
62.008	15	Synonym	mutating	59.008	3	77.008	5
87.025	15	Synonym	eating	82.008	5	102.025	5
110.009	15.017	Synonym	evolve	107.042	3	125.026	5
134.026	15.001	Synonym	taught	130.026	4	149.027	5
169.027	15.001	Hypothesis	island	164.027	5	184.028	5
193.028	15	Hypothesis	abandoned	189.045	4	208.028	5
218.029	15	Hypothesis	hospital	213.029	5	233.029	5
241.029	14.984	Hypothesis	corporation1	238.029	3	256.013	5
265.013	15.001	Hypothesis	earth1	261.03	4	280.014	5
288.014	15	Hypothesis	pond	285.047	3	303.014	5
321.015	15	Hypothesis	forest1	318.015	3	336.015	5
346.016	15	Hypothesis	university	341.032	5	361.016	5
369.016	15.001	Hypothesis	desert2	366.033	3	384.017	5
394.017	15	Hypothesis	city	389.05	5	409.017	5
418.018	15	Hypothesis	jungle	414.034	4	433.018	5
442.018	15.001	Hypothesis	earth4	438.035	4	457.019	5
476.019	15.001	Synonym	stain	472.019	4	491.02	5
501.02	15	Synonym	claim	496.053	5	516.02	5
525.021	15	Synonym	spills	521.037	4	540.021	5
550.022	15	Synonym	removed	545.038	5	565.022	5
573.022	15.001	Synonym	vanished	570.022	3	588.023	5
596.023	15	Synonym	seek	593.039	3	611.023	5
