onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
7.128	5.001	association_1_different_context	31	1	D	flag	1.128	5	6.112	1.016	12.129	3.5
15.629	4.983	association_2_different_context	31	2	D	flag	1.128	5	6.112	9.517	20.612	7
27.612	5	association_1_different_context	32	1	D	launch	23.629	3	26.612	1	32.612	3.501
36.113	5	association_2_different_context	32	2	D	launch	23.629	3	26.612	9.501	41.113	8.5
49.613	5	association_1_different_context	33	1	D	road	44.129	4.5	48.613	1	54.613	3.5
58.113	5	association_2_different_context	33	2	D	road	44.129	4.5	48.613	9.5	63.113	7.001
70.114	5	association_1_same_context	34	1	S	flow	66.147	3	69.114	1	75.114	3.5
78.614	5	association_2_same_context	34	2	S	flow	66.147	3	69.114	9.5	83.614	8
91.614	5	association_1_same_context	35	1	S	display	86.631	4	90.614	1	96.614	3.5
100.114	5.001	association_2_same_context	35	2	S	display	86.631	4	90.614	9.5	105.115	8.5
113.615	5	association_1_same_context	36	1	S	dozen	108.131	4.5	112.615	1	118.615	3.5
122.115	5	association_2_same_context	36	2	S	dozen	108.131	4.5	112.615	9.5	127.115	7.5
134.615	5	association_1_different_context	37	1	D	twist	130.132	3.5	133.615	1	139.615	3.501
143.116	5	association_2_different_context	37	2	D	twist	130.132	3.5	133.615	9.501	148.116	7.5
155.616	5	association_1_different_context	38	1	D	spot	151.149	3.5	154.616	1	160.616	3.5
164.116	5	association_2_different_context	38	2	D	spot	151.149	3.5	154.616	9.5	169.116	9.001
178.117	5	association_1_same_context	39	1	S	city	172.133	5	177.117	1	183.117	3.5
186.617	5	association_2_same_context	39	2	S	city	172.133	5	177.117	9.5	191.617	8
199.617	5	association_1_same_context	40	1	S	hill	194.617	4	198.617	1	204.617	3.5
208.117	5.001	association_2_same_context	40	2	S	hill	194.617	4	198.617	9.5	213.118	-206.495
