onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
15.014	15.001	Synonym	deter	10.014	5	30.015	5
40.015	15	Synonym	guard	35.031	5	55.015	5
63.015	15.001	Synonym	banned	60.032	3	78.016	5
86.016	15.001	Synonym	overtaken	83.033	3	101.017	5
110.017	15	Synonym	administering	106.033	4	125.017	5
134.017	15.001	Synonym	split	130.034	4	149.018	5
168.018	15.001	Hypothesis	desert1	164.018	4	183.019	5
193.019	15.001	Hypothesis	largecity2	188.036	5	208.02	5
216.02	15	Hypothesis	zoo1	213.02	3	231.02	5
241.02	15.001	Hypothesis	smallvillage2	236.037	5	256.021	5
264.021	15.001	Hypothesis	earth3	261.038	3	279.022	5
288.022	15	Hypothesis	ocean1	284.038	4	303.022	5
323.023	15	Hypothesis	bottom	318.023	5	338.023	5
346.023	15.001	Hypothesis	beach	343.04	3	361.024	5
370.024	15.001	Hypothesis	highway	366.024	4	385.025	5
393.025	15	Hypothesis	largecity1	390.041	3	408.025	5
417.025	15.001	Hypothesis	forest2	413.025	4	432.026	5
442.026	15.001	Hypothesis	newplanet	437.026	5	457.027	5
477.027	15.001	Synonym	use	472.027	5	492.028	5
501.011	15.017	Synonym	grown	497.028	4	516.028	5
526.012	15	Synonym	refracted	521.028	5	541.012	5
550.012	15.001	Synonym	crumble	546.029	4	565.013	5
573.013	15.001	Synonym	sleep	570.03	3	588.014	5
596.014	15	Synonym	allow	593.03	3	611.014	5
