onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.496	18.501	BAT	slow_thick	9.996	1.5
31.497	18.501	BAT	fresh_green	29.997	1.5
51.498	18.5	BAT	dry_brown	49.998	1.5
71.498	18.501	BAT	fast_exciting	69.998	1.5
91.499	18.5	BAT	precious_hard	89.999	1.5
111.499	28.501	BAT	heavy_warm	109.999	1.5
141.5	18.501	DA	alley	140	1.5
161.501	18.5	DA	log	160.001	1.5
181.501	18.501	DA	seat	180.001	1.5
201.502	18.5	DA	coin	200.002	1.5
221.502	18.501	DA	fence	220.002	1.5
241.503	28.501	DA	branch	240.003	1.5
271.504	18.5	META	dog	270.004	1.5
291.504	18.501	META	wind	290.004	1.5
311.505	18.5	META	friend	310.005	1.5
331.505	18.501	META	sun	330.005	1.5
351.506	18.5	META	plant	350.006	1.5
371.506	28.501	META	pillow	370.006	1.5
401.507	18.501	CA	gum	400.007	1.5
421.508	18.5	CA	ladder	420.008	1.5
441.508	18.501	CA	mail	440.008	1.5
461.509	18.5	CA	screen	460.009	1.5
481.509	18.501	CA	robot	480.009	1.5
501.51	28.501	CA	train	500.01	1.5
531.511	18.5	AUT	knife	530.011	1.5
551.511	18.501	AUT	broom	550.011	1.5
571.512	18.484	AUT	pencil	570.012	1.5
591.496	18.5	AUT	lighter	589.996	1.5
611.513	18.484	AUT	purse	609.996	1.517
