onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
15.004	15.001	Hypothesis	desert1	10.004	5	30.005	5
39.005	15	Hypothesis	largecity2	35.005	4	54.005	5
64.006	15	Hypothesis	zoo1	59.006	5	79.006	5
87.007	15	Hypothesis	smallvillage2	84.006	3	102.007	5
110.007	15	Hypothesis	earth3	107.007	3	125.007	5
134.008	15	Hypothesis	ocean1	130.007	4	149.008	5
167.009	15	Synonym	deter	164.008	3	182.009	5
190.009	15.001	Synonym	guard	187.009	3	205.01	5
215.01	15	Synonym	banned	210.01	5	230.01	5
239.01	15.001	Synonym	overtaken	235.01	4	254.011	5
263.994	15.018	Synonym	administering	259.011	5	279.012	5
287.995	15.001	Synonym	split	284.012	4	302.996	5
322.013	14.984	Synonym	use	317.996	4	336.997	5
346.013	14.984	Synonym	grown	342.03	4	360.997	5
369.014	14.984	Synonym	refracted	366.031	3	383.998	5
391.998	15.017	Synonym	crumble	389.015	3	407.015	5
417.015	15.001	Synonym	sleep	412.015	5	432.016	5
442.016	15	Synonym	allow	437.016	5	457.016	5
477.017	15	Hypothesis	bottom	472.017	5	492.017	5
500.018	15	Hypothesis	beach	497.018	3	515.018	5
524.018	15.001	Hypothesis	highway	520.018	4	539.019	5
549.019	15	Hypothesis	largecity1	544.019	5	564.019	5
572.02	15	Hypothesis	forest2	569.02	3	587.02	5
596.02	15.001	Hypothesis	newplanet	592.02	4	611.021	5
