onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.528	18.5	BAT	slow_thick	10.028	1.5
31.528	18.484	BAT	fresh_green	30.028	1.5
51.512	18.501	BAT	dry_brown	50.012	1.5
71.513	18.5	BAT	fast_exciting	70.013	1.5
91.513	18.501	BAT	precious_hard	90.013	1.5
111.514	28.501	BAT	heavy_warm	110.014	1.5
141.515	18.5	DA	alley	140.015	1.5
161.515	18.501	DA	log	160.015	1.5
181.516	18.5	DA	seat	180.016	1.5
201.517	18.5	DA	coin	200.016	1.501
221.517	18.501	DA	fence	220.017	1.5
241.518	28.5	DA	branch	240.018	1.5
271.518	18.501	META	dog	270.018	1.5
291.519	18.501	META	wind	290.019	1.5
311.52	18.5	META	friend	310.02	1.5
331.52	18.501	META	sun	330.02	1.5
351.521	18.5	META	plant	350.021	1.5
371.521	28.501	META	pillow	370.021	1.5
401.522	18.501	CA	gum	400.022	1.5
421.523	18.5	CA	ladder	420.023	1.5
441.523	18.501	CA	mail	440.023	1.5
461.524	18.5	CA	screen	460.024	1.5
481.524	18.501	CA	robot	480.024	1.5
501.525	28.501	CA	train	500.025	1.5
531.526	18.5	AUT	knife	530.026	1.5
551.526	18.501	AUT	broom	550.026	1.5
571.527	18.5	AUT	pencil	570.027	1.5
591.527	18.501	AUT	lighter	590.027	1.5
611.528	18.501	AUT	purse	610.028	1.5
