onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
6.624	4.998	association_1_same_context	21	1	S	forge	1.125	4.5	5.641	0.983	11.622	3.499
15.121	4.998	association_2_same_context	21	2	S	forge	1.125	4.5	5.641	9.48	20.119	7.497
27.616	4.999	association_1_different_context	22	1	D	cross	23.118	3.5	26.617	0.999	32.615	3.499
36.114	5.015	association_2_different_context	22	2	D	cross	23.118	3.5	26.617	9.497	41.129	6.997
48.126	4.998	association_1_different_context	23	1	D	height	44.127	3	47.126	1	53.124	3.499
56.623	4.999	association_2_different_context	23	2	D	height	44.127	3	47.126	9.497	61.622	7.497
69.119	4.998	association_1_different_context	24	1	D	spark	64.621	3.5	68.119	1	74.117	3.499
77.616	4.998	association_2_different_context	24	2	D	spark	64.621	3.5	68.119	9.497	82.614	9.014
91.628	5.015	association_1_same_context	25	1	S	den	85.613	5	90.612	1.016	96.643	3.482
100.125	4.999	association_2_same_context	25	2	S	den	85.613	5	90.612	9.513	105.124	7.997
113.121	4.998	association_1_same_context	26	1	S	list	108.122	4	112.121	1	118.119	3.499
121.618	4.998	association_2_same_context	26	2	S	list	108.122	4	112.121	9.497	126.616	8.997
135.613	5.015	association_1_same_context	27	1	S	exit	129.615	5	134.613	1	140.628	3.516
144.144	4.981	association_2_same_context	27	2	S	exit	129.615	5	134.613	9.531	149.125	6.998
156.123	4.998	association_1_different_context	28	1	D	mat	152.124	3	155.123	1	161.121	3.499
164.62	4.998	association_2_different_context	28	2	D	mat	152.124	3	155.123	9.497	169.618	7.998
177.616	4.998	association_1_different_context	29	1	D	lookout	172.617	4	176.616	1	182.614	3.499
186.113	5.031	association_2_different_context	29	2	D	lookout	172.617	4	176.616	9.497	191.144	8.481
199.625	4.998	association_1_same_context	30	1	S	fold	194.127	4.5	198.625	1	204.623	3.499
208.122	4.998	association_2_same_context	30	2	S	fold	194.127	4.5	198.625	9.497	213.12	-206.496
