onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
15.023	15	Hypothesis	island	10.023	5	30.023	5
39.023	15.001	Hypothesis	abandoned	35.023	4	54.024	5
62.007	15.001	Hypothesis	hospital	59.007	3	77.008	5
86.008	15	Hypothesis	corporation1	82.008	4	101.008	5
109.009	15	Hypothesis	earth1	106.025	3	124.009	5
134.009	15.001	Hypothesis	pond	129.009	5	149.01	5
169.01	15.001	Synonym	received	164.01	5	184.011	5
192.011	15	Synonym	notice	189.011	3	207.011	5
216.012	15	Synonym	mutating	212.028	4	231.012	5
239.012	14.984	Synonym	eating	236.012	3	253.996	5
264.013	14.984	Synonym	evolve	259.013	5	278.997	5
287.997	15	Synonym	taught	283.997	4	302.997	5
320.998	15	Synonym	stain	317.998	3	335.998	5
344.999	15	Synonym	claim	341.015	4	359.999	5
369.999	15.001	Synonym	spills	364.999	5	385	5
395	15	Synonym	removed	390.016	5	410	5
418.001	15	Synonym	vanished	415	3	433.001	5
442.001	15.001	Synonym	seek	438.001	4	457.002	5
477.002	15.001	Hypothesis	forest1	472.002	5	492.003	5
502.003	15	Hypothesis	university	497.003	5	517.003	5
526.004	15	Hypothesis	desert2	522.02	4	541.004	5
550.004	15.001	Hypothesis	city	546.004	4	565.005	5
573.005	15	Hypothesis	jungle	570.005	3	588.005	5
596.005	15.001	Hypothesis	earth4	593.022	3	611.006	5
