onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
13.999	15	Hypothesis	desert1	9.999	4	28.999	5
38	15	Hypothesis	largecity2	34.016	4	53	5
63	15.017	Hypothesis	zoo1	58.017	5	78.017	5
88.001	15	Hypothesis	smallvillage2	83.001	5	103.001	5
111.002	15.017	Hypothesis	earth3	108.035	3	126.019	5
134.019	15	Hypothesis	ocean1	131.035	3	149.019	5
169.02	15	Synonym	deter	164.02	5	184.02	5
192.021	15	Synonym	guard	189.02	3	207.021	5
216.021	15.001	Synonym	banned	212.021	4	231.022	5
239.022	15	Synonym	overtaken	236.022	3	254.022	5
263.022	15.001	Synonym	administering	259.022	4	278.023	5
288.023	15.001	Synonym	split	283.023	5	303.024	5
322.024	15	Synonym	use	318.024	4	337.024	5
347.025	15	Synonym	grown	342.025	5	362.025	5
370.025	15.001	Synonym	refracted	367.025	3	385.026	5
393.026	15	Synonym	crumble	390.026	3	408.026	5
418.027	15	Synonym	sleep	413.027	5	433.027	5
442.027	15.001	Synonym	allow	438.027	4	457.028	5
475.028	14.984	Hypothesis	bottom	472.028	3	490.012	5
498.012	15.001	Hypothesis	beach	495.012	3	513.013	5
523.013	15	Hypothesis	highway	518.03	5	538.013	5
547.014	15	Hypothesis	largecity1	543.014	4	562.014	5
572.014	15.001	Hypothesis	forest2	567.031	5	587.015	5
596.015	15	Hypothesis	newplanet	592.032	4	611.015	5
