onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
14.006	15	Hypothesis	desert1	10.006	4	29.006	5
38.006	15.001	Hypothesis	largecity2	34.006	4	53.007	5
63.007	15.001	Hypothesis	zoo1	58.007	5	78.008	5
86.008	15	Hypothesis	smallvillage2	83.008	3	101.008	5
109.008	15.001	Hypothesis	earth3	106.008	3	124.009	5
134.009	15.001	Hypothesis	ocean1	129.009	5	149.01	5
167.01	15	Synonym	deter	164.01	3	182.01	5
191.011	15	Synonym	guard	187.01	4	206.011	5
214.011	15.001	Synonym	banned	211.011	3	229.012	5
238.995	15.001	Synonym	overtaken	234.012	5	253.996	5
263.996	15	Synonym	administering	259.012	5	278.996	5
287.997	15	Synonym	split	284.013	4	302.997	5
322.998	15	Synonym	use	317.997	5	337.998	5
346.998	15.001	Synonym	grown	342.998	4	361.999	5
369.999	15	Synonym	refracted	367.016	3	384.999	5
394	15	Synonym	crumble	390.016	4	409	5
419	15.001	Synonym	sleep	414.017	5	434.001	5
442.018	14.983	Synonym	allow	439.017	3	457.001	5
475.002	15	Hypothesis	bottom	472.002	3	490.002	5
498.019	15.001	Hypothesis	beach	495.019	3	513.02	5
522.02	15	Hypothesis	highway	518.02	4	537.02	5
547.02	15.001	Hypothesis	largecity1	542.02	5	562.021	5
571.021	15.001	Hypothesis	forest2	567.021	4	586.022	5
596.022	15	Hypothesis	newplanet	591.022	5	611.022	5
