onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
6.613	5.001	association_1_different_context	51	1	D	plank	1.113	4.5	5.613	1	11.614	3.5
15.114	5	association_2_different_context	51	2	D	plank	1.113	4.5	5.613	9.501	20.114	9
29.114	5	association_1_different_context	52	1	D	bell	23.131	5	28.114	1	34.114	3.5
37.614	5	association_2_different_context	52	2	D	bell	23.131	5	28.114	9.5	42.614	8.501
51.115	5	association_1_same_context	53	1	S	alarm	45.631	4.5	50.115	1	56.115	3.5
59.615	5	association_2_same_context	53	2	S	alarm	45.631	4.5	50.115	9.5	64.615	7
71.615	5	association_1_different_context	54	1	D	chain	67.632	3	70.615	1	76.615	3.501
80.116	5	association_2_different_context	54	2	D	chain	67.632	3	70.615	9.501	85.116	9
94.116	5	association_1_same_context	55	1	S	contact	88.132	5	93.116	1	99.116	3.5
102.616	5	association_2_same_context	55	2	S	contact	88.132	5	93.116	9.5	107.616	8.001
115.617	5	association_1_different_context	56	1	D	touch	110.633	4	114.616	1.001	120.617	3.5
124.117	5	association_2_different_context	56	2	D	touch	110.633	4	114.616	9.501	129.117	7.5
136.617	5	association_1_same_context	57	1	S	dent	132.134	3.5	135.617	1	141.617	3.5
145.117	5	association_2_same_context	57	2	S	dent	132.134	3.5	135.617	9.5	150.117	7.501
157.618	5	association_1_different_context	58	1	D	lobby	153.134	3.5	156.618	1	162.618	3.5
166.118	5	association_2_different_context	58	2	D	lobby	153.134	3.5	156.618	9.5	171.118	8
179.118	5	association_1_same_context	59	1	S	market	174.135	4	178.118	1	184.118	3.501
187.619	5	association_2_same_context	59	2	S	market	174.135	4	178.118	9.501	192.619	7
199.619	5	association_1_same_context	60	1	S	slide	195.635	3	198.619	1	204.619	3.5
208.119	5	association_2_same_context	60	2	S	slide	195.635	3	198.619	9.5	213.119	n/a
