onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
5.112	5	association_1_different_context	31	1	D	flag	1.129	3	4.129	0.983	10.112	3.5
13.612	5.001	association_2_different_context	31	2	D	flag	1.129	3	4.129	9.483	18.613	8.5
27.113	5	association_1_different_context	32	1	D	launch	21.646	4.5	26.129	0.984	32.113	3.5
35.613	5	association_2_different_context	32	2	D	launch	21.646	4.5	26.129	9.484	40.613	7.5
48.113	5	association_1_different_context	33	1	D	road	43.63	3.5	47.13	0.983	53.113	3.501
56.614	5	association_2_different_context	33	2	D	road	43.63	3.5	47.13	9.484	61.614	7
68.614	5	association_1_same_context	34	1	S	flow	64.647	3	67.614	1	73.614	3.5
77.114	5	association_2_same_context	34	2	S	flow	64.647	3	67.614	9.5	82.114	8.001
90.115	5	association_1_same_context	35	1	S	display	85.131	4	89.114	1.001	95.115	3.5
98.615	5	association_2_same_context	35	2	S	display	85.131	4	89.114	9.501	103.615	8.5
112.115	5	association_1_same_context	36	1	S	dozen	106.632	4.5	111.115	1	117.115	3.5
120.615	5.001	association_2_same_context	36	2	S	dozen	106.632	4.5	111.115	9.5	125.616	8
133.616	5	association_1_different_context	37	1	D	twist	128.616	4	132.616	1	138.616	3.5
142.116	5	association_2_different_context	37	2	D	twist	128.616	4	132.616	9.5	147.116	9
156.116	5.001	association_1_different_context	38	1	D	spot	150.15	5	155.116	1	161.117	3.5
164.617	5	association_2_different_context	38	2	D	spot	150.15	5	155.116	9.501	169.617	7.5
177.117	5	association_1_same_context	39	1	S	city	172.634	3.5	176.117	1	182.117	3.5
185.617	5	association_2_same_context	39	2	S	city	172.634	3.5	176.117	9.5	190.617	9.001
199.618	5	association_1_same_context	40	1	S	hill	193.634	5	198.618	1	204.618	3.5
208.118	5	association_2_same_context	40	2	S	hill	193.634	5	198.618	9.5	213.118	-207.498
