onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
15.002	15.001	Hypothesis	desert1	10.002	5	30.003	5
38.02	14.983	Hypothesis	largecity2	35.003	3	53.003	5
63.004	15	Hypothesis	zoo1	58.02	5	78.004	5
86.021	14.984	Hypothesis	smallvillage2	83.021	3	101.005	5
110.005	15	Hypothesis	earth3	106.022	4	125.005	5
134.006	15	Hypothesis	ocean1	130.022	4	149.006	5
167.007	15.017	Synonym	deter	164.023	3	182.024	5
191.024	14.984	Synonym	guard	187.007	4	206.008	5
216.025	15	Synonym	banned	211.025	5	231.025	5
241.025	15.001	Synonym	overtaken	236.025	5	256.026	5
265.026	15	Synonym	administering	261.026	4	280.026	5
288.027	15	Synonym	split	285.043	3	303.027	5
322.028	15	Synonym	use	318.028	4	337.028	5
345.028	15.001	Synonym	grown	342.028	3	360.029	5
370.029	14.984	Synonym	refracted	365.012	5	385.013	5
393.03	14.983	Synonym	crumble	390.046	3	408.013	5
418.03	14.984	Synonym	sleep	413.03	5	433.014	5
442.014	15.001	Synonym	allow	438.031	4	457.015	5
476.015	15.001	Hypothesis	bottom	472.015	4	491.016	5
499.016	15	Hypothesis	beach	496.033	3	514.016	5
522.017	15	Hypothesis	highway	519.033	3	537.017	5
547.017	15.001	Hypothesis	largecity1	542.017	5	562.018	5
572.018	15	Hypothesis	forest2	567.034	5	587.018	5
596.019	15	Hypothesis	newplanet	592.019	4	611.019	5
