onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
15.019	15.001	Synonym	deter	10.019	5	30.02	5
39.02	15	Synonym	guard	35.02	4	54.02	5
62.021	15	Synonym	banned	59.021	3	77.021	5
87.021	15.001	Synonym	overtaken	82.021	5	102.022	5
110.022	15	Synonym	administering	107.022	3	125.022	5
134.023	15	Synonym	split	130.023	4	149.023	5
168.024	15	Hypothesis	desert1	164.024	4	183.024	5
192.024	15.001	Hypothesis	largecity2	188.024	4	207.025	5
215.025	15	Hypothesis	zoo1	212.025	3	230.025	5
238.026	15	Hypothesis	smallvillage2	235.025	3	253.026	5
263.026	15.001	Hypothesis	earth3	258.026	5	278.027	5
288.027	15	Hypothesis	ocean1	283.027	5	303.027	5
323.028	15	Hypothesis	bottom	318.028	5	338.028	5
347.012	15	Hypothesis	beach	343.028	4	362.012	5
370.013	14.983	Hypothesis	highway	367.012	3	384.996	5
394.997	15	Hypothesis	largecity1	390.013	5	409.997	5
418.997	15.001	Hypothesis	forest2	414.997	4	433.998	5
441.998	15	Hypothesis	newplanet	439.015	3	456.998	5
476.999	15	Synonym	use	471.999	5	491.999	5
499.999	15.001	Synonym	grown	496.999	3	515	5
524	15.001	Synonym	refracted	520	4	539.001	5
548.001	15	Synonym	crumble	544.001	4	563.001	5
573.001	15.001	Synonym	sleep	568.001	5	588.002	5
596.002	15.001	Synonym	allow	593.002	3	611.003	5
