onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.502	18.5	BAT	slow_thick	10.001	1.501
31.502	18.501	BAT	fresh_green	30.002	1.5
51.503	18.5	BAT	dry_brown	50.003	1.5
71.503	18.501	BAT	fast_exciting	70.003	1.5
91.504	18.517	BAT	precious_hard	90.004	1.5
111.504	28.518	BAT	heavy_warm	110.021	1.483
141.505	18.517	DA	alley	140.022	1.483
161.522	18.501	DA	log	160.022	1.5
181.523	18.5	DA	seat	180.023	1.5
201.523	18.501	DA	coin	200.023	1.5
221.524	18.5	DA	fence	220.024	1.5
241.525	28.501	DA	branch	240.024	1.501
271.525	18.501	META	dog	270.026	1.499
291.526	18.5	META	wind	290.026	1.5
311.526	18.501	META	friend	310.026	1.5
331.527	18.501	META	sun	330.027	1.5
351.528	18.5	META	plant	350.028	1.5
371.528	28.484	META	pillow	370.028	1.5
401.512	18.501	CA	gum	400.012	1.5
421.513	18.5	CA	ladder	420.013	1.5
441.513	18.501	CA	mail	440.013	1.5
461.514	18.5	CA	screen	460.014	1.5
481.514	18.501	CA	robot	480.014	1.5
501.515	28.501	CA	train	500.015	1.5
531.516	18.5	AUT	knife	530.016	1.5
551.516	18.501	AUT	broom	550.016	1.5
571.517	18.501	AUT	pencil	570.017	1.5
591.517	18.501	AUT	lighter	590.018	1.499
611.518	18.501	AUT	purse	610.018	1.5
