onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
15.02	15	Synonym	received	10.02	5	30.02	5
40.02	15.001	Synonym	notice	35.02	5	55.021	5
63.021	15	Synonym	mutating	60.021	3	78.021	5
87.022	15	Synonym	eating	83.022	4	102.022	5
110.022	15.001	Synonym	evolve	107.039	3	125.023	5
134.023	15	Synonym	taught	130.023	4	149.023	5
168.024	15	Hypothesis	island	164.024	4	183.024	5
193.025	15	Hypothesis	abandoned	188.041	5	208.025	5
216.025	15.001	Hypothesis	hospital	213.025	3	231.026	5
239.026	15	Hypothesis	corporation1	236.026	3	254.026	5
264.027	15	Hypothesis	earth1	259.026	5	279.027	5
288.027	15.001	Hypothesis	pond	284.027	4	303.028	5
323.012	15.017	Hypothesis	forest1	318.028	5	338.029	5
348.012	15.001	Hypothesis	university	343.029	5	363.013	5
372.013	15	Hypothesis	desert2	368.013	4	387.013	5
396.014	15	Hypothesis	city	392.013	4	411.014	5
419.014	15.001	Hypothesis	jungle	416.014	3	434.015	5
442.015	14.984	Hypothesis	earth4	439.031	3	456.999	5
475.999	15.001	Synonym	stain	471.999	4	491	5
499	15	Synonym	claim	496.016	3	514	5
522	15.001	Synonym	spills	519	3	537.001	5
547.001	15	Synonym	removed	542.001	5	562.001	5
572.002	15	Synonym	vanished	567.018	5	587.002	5
596.002	15.001	Synonym	seek	592.019	4	611.003	5
