onset	duration	trial_type	stimulus	stimulus_onset	stimulus_duration
11.497	18.501	BAT	slow_thick	9.997	1.5
31.498	18.5	BAT	fresh_green	29.998	1.5
51.498	18.501	BAT	dry_brown	49.998	1.5
71.499	18.5	BAT	fast_exciting	69.999	1.5
91.499	18.501	BAT	precious_hard	89.999	1.5
111.5	28.501	BAT	heavy_warm	110	1.5
141.501	18.5	DA	alley	140.001	1.5
161.501	18.501	DA	log	160.001	1.5
181.502	18.5	DA	seat	180.002	1.5
201.502	18.501	DA	coin	200.002	1.5
221.503	18.5	DA	fence	220.003	1.5
241.503	28.501	DA	branch	240.003	1.5
271.504	18.501	META	dog	270.004	1.5
291.505	18.5	META	wind	290.005	1.5
311.505	18.501	META	friend	310.005	1.5
331.506	18.517	META	sun	330.006	1.5
351.507	18.517	META	plant	350.023	1.484
371.507	28.501	META	pillow	370.024	1.483
401.525	18.5	CA	gum	400.008	1.517
421.509	18.517	CA	ladder	420.025	1.484
441.509	18.501	CA	mail	440.026	1.483
461.51	18.517	CA	screen	460.01	1.5
481.527	18.5	CA	robot	480.027	1.5
501.511	28.517	CA	train	500.027	1.484
531.528	18.484	AUT	knife	530.028	1.5
551.512	18.501	AUT	broom	550.012	1.5
571.513	18.5	AUT	pencil	570.013	1.5
591.513	18.501	AUT	lighter	590.013	1.5
611.514	18.5	AUT	purse	610.014	1.5
