onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
13.021	15.001	Hypothesis	island	10.021	3	28.022	5
38.022	15	Hypothesis	abandoned	33.022	5	53.022	5
63.023	15	Hypothesis	hospital	58.023	5	78.023	5
86.023	15.001	Hypothesis	corporation1	83.04	3	101.024	5
110.024	15	Hypothesis	earth1	106.041	4	125.024	5
134.025	15	Hypothesis	pond	130.025	4	149.025	5
168.026	15	Synonym	received	164.025	4	183.026	5
191.026	15.001	Synonym	notice	188.043	3	206.027	5
216.027	15	Synonym	mutating	211.044	5	231.027	5
241.028	15	Synonym	eating	236.028	5	256.028	5
265.012	15	Synonym	evolve	261.028	4	280.012	5
288.012	15.001	Synonym	taught	285.029	3	303.013	5
322.013	15.001	Synonym	stain	318.013	4	337.014	5
345.014	15	Synonym	claim	342.031	3	360.014	5
370.015	15	Synonym	spills	365.031	5	385.015	5
394.015	15.001	Synonym	removed	390.032	4	409.016	5
417.016	15	Synonym	vanished	414.033	3	432.016	5
442.017	15	Synonym	seek	437.033	5	457.017	5
476.018	15	Hypothesis	forest1	472.018	4	491.018	5
501.018	15.001	Hypothesis	university	496.018	5	516.019	5
524.019	15	Hypothesis	desert2	521.036	3	539.019	5
547.02	15	Hypothesis	city	544.019	3	562.02	5
572.02	15.001	Hypothesis	jungle	567.02	5	587.021	5
596.021	15	Hypothesis	earth4	592.038	4	611.021	5
