onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
6.627	5	association_1_same_context	41	1	S	quarter	1.127	4.5	5.627	1	11.627	3.5
15.127	5	association_2_same_context	41	2	S	quarter	1.127	4.5	5.627	9.5	20.127	8
28.127	5.001	association_1_different_context	42	1	D	peak	23.127	4	27.127	1	33.128	3.5
36.628	5	association_2_different_context	42	2	D	peak	23.127	4	27.127	9.501	41.628	7
48.628	5	association_1_different_context	43	1	D	dip	44.628	3	47.628	1	53.628	3.5
57.128	5	association_2_different_context	43	2	D	dip	44.628	3	47.628	9.5	62.128	8.001
70.129	4.983	association_1_different_context	44	1	D	sweep	65.129	4	69.112	1.017	75.112	3.5
78.612	5	association_2_different_context	44	2	D	sweep	65.129	4	69.112	9.5	83.612	7.501
91.113	5	association_1_different_context	45	1	D	foot	86.629	3.5	90.113	1	96.113	3.5
99.613	5	association_2_different_context	45	2	D	foot	86.629	3.5	90.113	9.5	104.613	7
111.613	5	association_1_same_context	46	1	S	suit	107.613	3	110.613	1	116.613	3.5
120.113	5.001	association_2_same_context	46	2	S	suit	107.613	3	110.613	9.5	125.114	9
134.114	5	association_1_same_context	47	1	S	mix	128.114	5	133.114	1	139.114	3.5
142.614	5	association_2_same_context	47	2	S	mix	128.114	5	133.114	9.5	147.614	7.5
155.114	5.001	association_1_different_context	48	1	D	trail	150.614	3.5	154.114	1	160.115	3.5
163.615	5	association_2_different_context	48	2	D	trail	150.614	3.5	154.114	9.501	168.615	9
177.615	5	association_1_same_context	49	1	S	chunk	171.615	5	176.615	1	182.615	3.5
186.115	5	association_2_same_context	49	2	S	chunk	171.615	5	176.615	9.5	191.115	8.501
199.616	5	association_1_same_context	50	1	S	scrap	194.115	4.5	198.616	1	204.616	3.5
208.116	5	association_2_same_context	50	2	S	scrap	194.115	4.5	198.616	9.5	213.116	-207.52
