onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
7.121	4.998	association_1_same_context	11	1	S	blow	1.123	5	6.121	1	12.119	3.499
15.618	4.998	association_2_same_context	11	2	S	blow	1.123	5	6.121	9.497	20.616	8.014
28.63	4.999	association_1_different_context	12	1	D	globe	23.615	4	27.631	0.999	33.629	3.498
37.127	4.999	association_2_different_context	12	2	D	globe	23.615	4	27.631	9.496	42.126	7.997
50.123	4.998	association_1_same_context	13	1	S	leap	45.125	4	49.123	1	55.121	3.499
58.62	4.998	association_2_same_context	13	2	S	leap	45.125	4	49.123	9.497	63.618	8.497
72.115	5.015	association_1_different_context	14	1	D	guide	66.617	4.5	71.116	0.999	77.13	3.483
80.613	5.015	association_2_different_context	14	2	D	guide	66.617	4.5	71.116	9.497	85.628	7.497
93.125	4.998	association_1_different_context	15	1	D	stage	88.627	3.5	92.125	1	98.123	3.499
101.622	4.998	association_2_different_context	15	2	D	stage	88.627	3.5	92.125	9.497	106.62	8.997
115.617	5.015	association_1_different_context	16	1	D	scratch	109.619	5	114.618	0.999	120.632	3.499
124.131	4.982	association_2_different_context	16	2	D	scratch	109.619	5	114.618	9.513	129.113	8.514
137.627	4.998	association_1_same_context	17	1	S	note	132.129	4.5	136.627	1	142.625	3.499
146.124	4.998	association_2_same_context	17	2	S	note	132.129	4.5	136.627	9.497	151.122	7.498
158.62	4.998	association_1_same_context	18	1	S	study	154.121	3.5	157.62	1	163.618	3.515
167.133	4.982	association_2_same_context	18	2	S	study	154.121	3.5	157.62	9.513	172.115	6.998
179.113	5.015	association_1_different_context	19	1	D	piece	175.114	3	178.113	1	184.128	3.498
187.626	4.999	association_2_different_context	19	2	D	piece	175.114	3	178.113	9.513	192.625	6.997
199.622	4.999	association_1_same_context	20	1	S	stem	195.624	3	198.623	0.999	204.621	3.498
208.119	4.999	association_2_same_context	20	2	S	stem	195.624	3	198.623	9.496	213.118	-206.504
