onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
6.115	4.998	association_1_different_context	51	1	D	plank	1.117	4	5.115	1	11.113	3.499
14.612	5.015	association_2_different_context	51	2	D	plank	1.117	4	5.115	9.497	19.627	8.497
28.124	4.999	association_1_different_context	52	1	D	bell	22.626	4.5	27.125	0.999	33.123	3.515
36.638	4.982	association_2_different_context	52	2	D	bell	22.626	4.5	27.125	9.513	41.62	7.997
49.617	4.998	association_1_same_context	53	1	S	alarm	44.619	4	48.617	1	54.615	3.499
58.114	4.998	association_2_same_context	53	2	S	alarm	44.619	4	48.617	9.497	63.112	8.514
71.626	4.999	association_1_different_context	54	1	D	chain	66.128	4.5	70.627	0.999	76.625	3.498
80.123	5.015	association_2_different_context	54	2	D	chain	66.128	4.5	70.627	9.496	85.138	8.981
94.119	4.998	association_1_same_context	55	1	S	contact	88.121	5	93.119	1	99.117	3.499
102.616	4.998	association_2_same_context	55	2	S	contact	88.121	5	93.119	9.497	107.614	7.514
115.128	4.998	association_1_different_context	56	1	D	touch	110.613	3.5	114.128	1	120.126	3.499
123.625	5.015	association_2_different_context	56	2	D	touch	110.613	3.5	114.128	9.497	128.64	6.981
135.621	4.999	association_1_same_context	57	1	S	dent	131.639	3	134.622	0.999	140.62	3.498
144.118	4.999	association_2_same_context	57	2	S	dent	131.639	3	134.622	9.496	149.117	6.997
156.114	4.999	association_1_different_context	58	1	D	lobby	152.116	3	155.115	0.999	161.113	3.515
164.628	4.998	association_2_different_context	58	2	D	lobby	152.116	3	155.115	9.513	169.626	9.014
178.64	4.982	association_1_same_context	59	1	S	market	172.625	5	177.64	1	183.622	3.498
187.12	4.999	association_2_same_context	59	2	S	market	172.625	5	177.64	9.48	192.119	7.497
199.616	4.999	association_1_same_context	60	1	S	slide	195.118	3.5	198.617	0.999	204.615	3.498
208.113	5.015	association_2_same_context	60	2	S	slide	195.118	3.5	198.617	9.496	213.128	n/a
