onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
6.626	4.999	association_1_same_context	21	1	S	forge	1.128	4.5	5.627	0.999	11.625	3.498
15.123	4.999	association_2_same_context	21	2	S	forge	1.128	4.5	5.627	9.496	20.122	7.497
27.619	5.015	association_1_different_context	22	1	D	cross	23.121	3.5	26.62	0.999	32.634	3.482
36.116	4.999	association_2_different_context	22	2	D	cross	23.121	3.5	26.62	9.496	41.115	8.014
49.129	4.998	association_1_different_context	23	1	D	height	44.114	4	48.112	1.017	54.127	3.499
57.626	4.998	association_2_different_context	23	2	D	height	44.114	4	48.112	9.514	62.624	8.497
71.121	5.015	association_1_different_context	24	1	D	spark	65.623	4.5	70.121	1	76.136	3.482
79.618	4.999	association_2_different_context	24	2	D	spark	65.623	4.5	70.121	9.497	84.617	8.997
93.614	5.015	association_1_same_context	25	1	S	den	87.616	5	92.614	1	98.629	3.498
102.127	4.999	association_2_same_context	25	2	S	den	87.616	5	92.614	9.513	107.126	8.997
116.123	4.998	association_1_same_context	26	1	S	list	110.125	5	115.123	1	121.121	3.515
124.636	4.982	association_2_same_context	26	2	S	list	110.125	5	115.123	9.513	129.618	7.497
137.115	4.999	association_1_same_context	27	1	S	exit	132.617	3.5	136.116	0.999	142.114	3.499
145.613	5.015	association_2_same_context	27	2	S	exit	132.617	3.5	136.116	9.497	150.628	7.997
158.625	4.998	association_1_different_context	28	1	D	mat	153.627	4	157.625	1	163.623	3.499
167.122	5.015	association_2_different_context	28	2	D	mat	153.627	4	157.625	9.497	172.137	6.981
179.118	4.998	association_1_different_context	29	1	D	lookout	175.119	3	178.118	1	184.116	3.499
187.615	4.998	association_2_different_context	29	2	D	lookout	175.119	3	178.118	9.497	192.613	7.015
199.628	4.998	association_1_same_context	30	1	S	fold	195.612	3	198.628	1	204.626	3.499
208.125	4.998	association_2_same_context	30	2	S	fold	195.612	3	198.628	9.497	213.123	-207.003
