onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
5.629	4.998	association_1_same_context	1	1	S	edge	1.114	3.5	4.612	1.017	10.627	3.499
14.126	4.998	association_2_same_context	1	2	S	edge	1.114	3.5	4.612	9.514	19.124	7.498
26.622	4.998	association_1_different_context	2	1	D	press	22.123	3.5	25.622	1	31.62	3.515
35.135	4.982	association_2_different_context	2	2	D	press	22.123	3.5	25.622	9.513	40.117	6.998
47.115	4.998	association_1_different_context	3	1	D	group	43.116	3	46.115	1	52.113	3.515
55.628	4.999	association_2_different_context	3	2	D	group	43.116	3	46.115	9.513	60.627	6.997
67.624	4.999	association_1_same_context	4	1	S	slip	63.626	3	66.625	0.999	72.623	3.499
76.122	5.014	association_2_same_context	4	2	S	slip	63.626	3	66.625	9.497	81.136	8.481
89.617	4.998	association_1_same_context	5	1	S	head	84.135	4.5	88.617	1	94.615	3.499
98.114	4.998	association_2_same_context	5	2	S	head	84.135	4.5	88.617	9.497	103.112	8.014
111.126	4.999	association_1_different_context	6	1	D	body	106.128	4	110.127	0.999	116.125	3.498
119.623	4.999	association_2_different_context	6	2	D	body	106.128	4	110.127	9.496	124.622	7.997
132.619	4.998	association_1_same_context	7	1	S	line	127.637	4	131.619	1	137.617	3.499
141.116	4.998	association_2_same_context	7	2	S	line	127.637	4	131.619	9.497	146.114	9.014
155.128	4.998	association_1_same_context	8	1	S	hand	149.113	5	154.128	1	160.126	3.499
163.625	4.999	association_2_same_context	8	2	S	hand	149.113	5	154.128	9.497	168.624	9.013
177.637	4.982	association_1_different_context	9	1	D	cast	171.623	5	176.637	1	182.619	3.499
186.118	4.998	association_2_different_context	9	2	D	cast	171.623	5	176.637	9.481	191.116	8.497
199.613	5.015	association_1_different_context	10	1	D	sign	194.115	4.5	198.613	1	204.628	3.499
208.127	4.998	association_2_different_context	10	2	D	sign	194.115	4.5	198.613	9.514	213.125	-205.999
