onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
15.017	15	Hypothesis	desert1	10.017	5	30.017	5
40.017	15.001	Hypothesis	largecity2	35.034	5	55.018	5
63.018	15.001	Hypothesis	zoo1	60.035	3	78.019	5
86.019	15	Hypothesis	smallvillage2	83.019	3	101.019	5
110.019	15.001	Hypothesis	earth3	106.036	4	125.02	5
134.02	15	Hypothesis	ocean1	130.02	4	149.02	5
168.021	15	Synonym	deter	164.021	4	183.021	5
192.022	15	Synonym	guard	188.038	4	207.022	5
215.022	15.001	Synonym	banned	212.022	3	230.023	5
240.023	15.001	Synonym	overtaken	235.04	5	255.024	5
263.024	15	Synonym	administering	260.04	3	278.024	5
288.024	15.001	Synonym	split	283.041	5	303.025	5
321.025	15.001	Synonym	use	318.025	3	336.026	5
345.026	15	Synonym	grown	341.043	4	360.026	5
370.027	15	Synonym	refracted	365.027	5	385.027	5
395.027	15.001	Synonym	crumble	390.044	5	410.028	5
418.028	15.001	Synonym	sleep	415.028	3	433.029	5
442.029	15	Synonym	allow	438.029	4	457.029	5
475.013	15	Hypothesis	bottom	472.03	3	490.013	5
499.014	15	Hypothesis	beach	495.03	4	514.014	5
524.014	15.001	Hypothesis	highway	519.031	5	539.015	5
548.015	15.001	Hypothesis	largecity1	544.015	4	563.016	5
573.016	15	Hypothesis	forest2	568.032	5	588.016	5
596.017	15	Hypothesis	newplanet	593.033	3	611.017	5
