onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
13.021	15.001	Synonym	received	10.021	3	28.022	5
37.022	15	Synonym	notice	33.022	4	52.022	5
62.022	15.001	Synonym	mutating	57.022	5	77.023	5
87.023	15.001	Synonym	eating	82.023	5	102.024	5
110.024	15	Synonym	evolve	107.024	3	125.024	5
134.024	15.001	Synonym	taught	130.024	4	149.025	5
168.025	15.001	Hypothesis	island	164.025	4	183.026	5
191.026	15	Hypothesis	abandoned	188.026	3	206.026	5
216.027	15	Hypothesis	hospital	211.027	5	231.027	5
240.027	15.001	Hypothesis	corporation1	236.027	4	255.028	5
265.028	15	Hypothesis	earth1	260.028	5	280.028	5
288.012	15	Hypothesis	pond	285.029	3	303.012	5
322.013	15	Hypothesis	forest1	318.013	4	337.013	5
346.014	15	Hypothesis	university	342.014	4	361.014	5
371.014	15.001	Hypothesis	desert2	366.014	5	386.015	5
394.015	15	Hypothesis	city	391.032	3	409.015	5
417.016	15	Hypothesis	jungle	414.015	3	432.016	5
442.016	15.001	Hypothesis	earth4	437.016	5	457.017	5
476.017	15.001	Synonym	stain	472.017	4	491.018	5
501.018	15	Synonym	claim	496.034	5	516.018	5
524.019	15	Synonym	spills	521.019	3	539.019	5
548.019	15.001	Synonym	removed	544.019	4	563.02	5
571.02	15	Synonym	vanished	568.02	3	586.02	5
596.021	15	Synonym	seek	591.02	5	611.021	5
