onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
15.008	15	Hypothesis	desert1	10.008	5	30.008	5
39.009	15	Hypothesis	largecity2	35.008	4	54.009	5
62.009	15.001	Hypothesis	zoo1	59.009	3	77.01	5
87.01	15	Hypothesis	smallvillage2	82.01	5	102.01	5
111.011	15	Hypothesis	earth3	107.01	4	126.011	5
134.011	15.001	Hypothesis	ocean1	131.011	3	149.012	5
167.012	14.984	Synonym	deter	164.012	3	181.996	5
192.013	14.984	Synonym	guard	186.996	5	206.997	5
215.997	15	Synonym	banned	211.997	4	230.997	5
238.998	15.001	Synonym	overtaken	235.997	3	253.999	5
262.998	15	Synonym	administering	258.998	4	277.998	5
287.999	15	Synonym	split	282.999	5	302.999	5
322	15	Synonym	use	318	4	337	5
345	15.001	Synonym	grown	342	3	360.001	5
369.001	15	Synonym	refracted	365.001	4	384.001	5
392.002	15	Synonym	crumble	389.002	3	407.002	5
417.002	15.001	Synonym	sleep	412.002	5	432.003	5
442.003	15	Synonym	allow	437.003	5	457.003	5
475.004	15	Hypothesis	bottom	472.021	3	490.004	5
500.005	15	Hypothesis	beach	495.004	5	515.005	5
524.005	15.001	Hypothesis	highway	520.005	4	539.006	5
547.023	15	Hypothesis	largecity1	544.006	3	562.023	5
572.007	15.017	Hypothesis	forest2	567.023	5	587.024	5
596.024	15	Hypothesis	newplanet	592.024	4	611.024	5
