onset	duration	trial_type	stimulus	fix_onset	fix_duration	response_onset	response_duration
13.004	15.001	Synonym	deter	10.004	3	28.005	5
37.005	15	Synonym	guard	33.005	4	52.005	5
60.006	15	Synonym	banned	57.006	3	75.006	5
85.006	15.001	Synonym	overtaken	80.023	5	100.007	5
109.007	15	Synonym	administering	105.007	4	124.007	5
134.008	15	Synonym	split	129.008	5	149.008	5
169.009	15	Hypothesis	desert1	164.009	5	184.009	5
192.009	15.001	Hypothesis	largecity2	189.026	3	207.01	5
216.01	15	Hypothesis	zoo1	212.01	4	231.01	5
240.011	15	Hypothesis	smallvillage2	236.011	4	255.011	5
263.028	14.984	Hypothesis	earth3	260.011	3	278.012	5
288.012	14.984	Hypothesis	ocean1	283.045	5	302.996	5
320.996	15.001	Hypothesis	bottom	317.996	3	335.997	5
344.997	15	Hypothesis	beach	341.013	4	359.997	5
368.998	15	Hypothesis	highway	365.031	4	383.998	5
394.015	14.984	Hypothesis	largecity1	389.015	5	408.999	5
417.016	15	Hypothesis	forest2	414.015	3	432.016	5
442.016	15.001	Hypothesis	newplanet	437.033	5	457.017	5
475.017	15.001	Synonym	use	472.017	3	490.018	5
500.018	15	Synonym	grown	495.034	5	515.018	5
524.018	15.001	Synonym	refracted	520.018	4	539.019	5
549.019	15.001	Synonym	crumble	544.019	5	564.02	5
573.02	15	Synonym	sleep	569.036	4	588.02	5
596.02	15.001	Synonym	allow	593.037	3	611.021	5
