onset	duration	trial_type	trial	association_number	context	cue	fix_onset	fix_duration	prompt_onset	prompt_duration	speak_onset	speak_duration
5.124	5	association_1_different_context	51	1	D	plank	1.124	3	4.124	1	10.124	3.501
13.625	5	association_2_different_context	51	2	D	plank	1.124	3	4.124	9.501	18.625	8.5
27.125	5	association_1_different_context	52	1	D	bell	21.641	4.5	26.125	1	32.125	3.5
35.625	5	association_2_different_context	52	2	D	bell	21.641	4.5	26.125	9.5	40.625	7.501
48.126	5	association_1_same_context	53	1	S	alarm	43.625	3.5	47.126	1	53.126	3.5
56.626	5	association_2_same_context	53	2	S	alarm	43.625	3.5	47.126	9.5	61.626	9
70.626	5	association_1_different_context	54	1	D	chain	64.643	5	69.626	1	75.626	3.5
79.126	5.001	association_2_different_context	54	2	D	chain	64.643	5	69.626	9.5	84.127	8
92.127	5	association_1_same_context	55	1	S	contact	87.143	4	91.127	1	97.127	3.5
100.627	5	association_2_same_context	55	2	S	contact	87.143	4	91.127	9.5	105.627	7.5
113.127	5.001	association_1_different_context	56	1	D	touch	108.644	3.5	112.127	1	118.128	3.5
121.628	5	association_2_different_context	56	2	D	touch	108.644	3.5	112.127	9.501	126.628	9
135.628	5	association_1_same_context	57	1	S	dent	129.645	5	134.628	1	140.628	3.5
144.128	5	association_2_same_context	57	2	S	dent	129.645	5	134.628	9.5	149.128	8.001
157.129	5	association_1_different_context	58	1	D	lobby	152.145	4	156.129	1	162.129	3.5
165.629	5	association_2_different_context	58	2	D	lobby	152.145	4	156.129	9.5	170.629	8.5
179.129	5	association_1_same_context	59	1	S	market	173.646	4.5	178.129	1	184.129	3.501
187.63	5	association_2_same_context	59	2	S	market	173.646	4.5	178.129	9.501	192.63	6.983
199.613	5	association_1_same_context	60	1	S	slide	195.646	3	198.613	1	204.613	3.5
208.113	5.001	association_2_same_context	60	2	S	slide	195.646	3	198.613	9.5	213.114	n/a
